,Accepts Credit Cards,Alcohol,Bike Parking,Category,Caters,Delivery,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount
0,Yes,Beer & Wine Only,Yes,Chinese,Yes,Yes,,,No,Yes,Yes,,,Yes,A,,,,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Dun Huang,Morningside Heights,4,37
1,Yes,Beer & Wine Only,Yes,New American,No,Yes,Yes,"Brunch, Lunch",Yes,Yes,,,,No,A,,,Average,No,Street,Yes,Yes,Yes,,Free,$11-30,Flat Top,Morningside Heights,4,399
2,Yes,No,Yes,New American,Yes,No,,"Lunch, Dinner",Yes,Yes,,,,No,A,,Yes,Average,No,Street,Yes,No,No,No,No,$11-30,Dig Inn,Morningside Heights,4,279
3,Yes,Beer & Wine Only,No,Sushi,Yes,Yes,,,,,No,,,No,,,,,No,,Yes,Yes,Yes,Yes,Free,,Kikoo Sushi,Manhattan Valley,4.5,4
4,No,Beer & Wine Only,Yes,Italian,No,Yes,,Dinner,Yes,No,,,,No,B,,,Average,Yes,Street,Yes,No,Yes,,No,$11-30,Max Soha,Morningside Heights,4,384
5,Yes,Full Bar,No,Traditional American,No,Yes,Yes,"Brunch, Lunch",Yes,Yes,,Yes,,No,A,,,Average,No,Street,Yes,No,Yes,Yes,Free,$11-30,Friedman's,Morningside Heights,3.5,278
6,Yes,Full Bar,Yes,Ethiopian,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,,,Yes,A,,,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Massawa,Morningside Heights,4,247
7,Yes,Full Bar,,Traditional American,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,Average,Yes,,Yes,No,,,,,e's BAR,Morningside Heights,4,6
8,,,,Bars,,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,Bar314,Morningside Heights,5,8
9,Yes,Beer & Wine Only,Yes,Korean,No,Yes,Yes,Dinner,Yes,Yes,,,,No,A,,,Average,Yes,Street,Yes,No,,,No,$11-30,Mill Korean,Morningside Heights,3,302
10,Yes,Full Bar,No,Seafood,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Yes,,No,A,Yes,Yes,Average,Yes,Street,Yes,Yes,No,No,Paid,$11-30,Lolo's Seafood Shack,Harlem,4,571
11,Yes,Full Bar,Yes,Thai,Yes,Yes,,"Lunch, Dinner",Yes,Yes,,,,No,A,,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,No,$11-30,Thai Market,Manhattan Valley,4,904
12,,,,Korean,,,,,,,,,,,,,,,,,,,,,,,KALBI,Morningside Heights,4.5,3
13,Yes,Full Bar,Yes,Seafood,Yes,Yes,,"Lunch, Dinner",Yes,Yes,Yes,,,Yes,C,,,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Shaking Crab - Upper West Side,Morningside Heights,3.5,221
14,Yes,No,Yes,Vietnamese,Yes,Yes,,"Lunch, Dinner",No,Yes,,,,No,A,Yes,Yes,Average,No,Street,Yes,No,No,,No,$11-30,Saiguette,Manhattan Valley,4.5,514
15,Yes,No,No,Chinese,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,,,No,A,,,Average,Yes,Street,Yes,No,No,Yes,Free,$11-30,Junzi Kitchen,Morningside Heights,4,131
16,Yes,Full Bar,Yes,Italian,Yes,Yes,Yes,Dinner,Yes,Yes,,,,No,A,,Yes,Average,No,Street,Yes,Yes,Yes,,No,$11-30,Pisticci,Harlem,4,755
17,Yes,Full Bar,Yes,Italian,Yes,Yes,,"Brunch, Dinner",Yes,Yes,Yes,,,Yes,A,,,Average,No,Street,Yes,Yes,Yes,,Free,$11-30,Tartina,Morningside Heights,4,234
18,Yes,Beer & Wine Only,,Caf¨¦,No,No,Yes,,Yes,Yes,,,,No,A,,,Average,No,,No,Yes,No,,Free,Under $10,Hex & Company,Morningside Heights,4.5,31
19,No,No,Yes,Chinese,No,No,,,No,Yes,,,,No,,,,Loud,No,Street,Yes,No,,,No,Under $10,Uncle Luoyang,Morningside Heights,3.5,30
20,Yes,Full Bar,Yes,Mediterranean,Yes,,Yes,"Lunch, Dinner",Yes,Yes,Yes,,,No,A,,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,Marlow Bistro,Manhattan Valley,4,223
21,Yes,Beer & Wine Only,Yes,Ramen,No,Yes,Yes,"Lunch, Dinner",Yes,Yes,,,,No,A,Yes,Yes,Average,No,Street,Yes,No,,,No,$11-30,Jin Ramen - West Harlem,Harlem,4,977
22,Yes,Full Bar,Yes,Burgers,No,Yes,Yes,"Lunch, Dinner",Yes,Yes,,,,Yes,A,,Yes,Loud,Yes,Street,Yes,Yes,Yes,,No,$11-30,Mel's Burger Bar,Morningside Heights,3.5,669
23,Yes,Beer & Wine Only,Yes,Traditional American,Yes,No,Yes,"Brunch, Lunch, Dinner",Yes,Yes,,,,Yes,A,,,Average,No,Street,Yes,No,,,No,$11-30,Amy Ruth's,Harlem,4,2322
24,Yes,No,No,Chinese,No,No,,,Yes,Yes,,,,Yes,A,,,Average,No,Street,No,Yes,Yes,Yes,Free,$11-30,Red Hot Hot Pot,Manhattan Valley,4,50
25,Yes,Full Bar,Yes,New American,No,No,Yes,Brunch,Yes,Yes,No,Yes,,No,A,Yes,Yes,Average,Yes,Street,Yes,No,Yes,,No,$11-30,Community Food & Juice,Morningside Heights,3.5,844
26,Yes,Full Bar,No,French,No,Yes,,,Yes,No,Yes,Yes,Yes,No,C,,,,Yes,,Yes,Yes,Yes,No,No,$31-60,Amelie,Upper West Side,4.5,91
27,Yes,,,Chinese,,Yes,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Free,,Atlas Kitchen,Manhattan Valley,4,28
28,Yes,Beer & Wine Only,Yes,New American,No,No,Yes,,,,No,,,Yes,,,,,No,Street,Yes,No,Yes,Yes,Free,,Harlem Ale House,Harlem,5,14
30,Yes,Beer & Wine Only,Yes,Vegan,Yes,Yes,Yes,"Dinner, Dessert",Yes,Yes,,Yes,Yes,No,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Seasoned Vegan,Harlem,4,904
31,Yes,No,Yes,Vietnamese,Yes,No,,"Lunch, Dinner",Yes,Yes,No,,,No,,Yes,Yes,Average,Yes,Private Lot,Yes,Yes,Yes,Yes,No,$11-30,SEAK,,4,266
33,Yes,Full Bar,Yes,Italian,No,No,Yes,Brunch,Yes,Yes,Yes,,,Yes,A,,Yes,Average,Yes,"Garage, Street",Yes,Yes,,,Free,$11-30,Lido,Harlem,4,865
34,Yes,No,Yes,Vegan,No,No,Yes,Lunch,No,Yes,,,,No,A,,Yes,Loud,No,,Yes,No,No,,Free,$11-30,sweetgreen,Morningside Heights,3,152
35,Yes,Beer & Wine Only,Yes,Korean,Yes,Yes,Yes,"Lunch, Dinner",No,Yes,,,,Yes,A,,,Average,No,Street,Yes,No,Yes,Yes,Free,$11-30,Koko Wings,Manhattan Valley,3.5,272
36,Yes,Full Bar,Yes,Italian,Yes,Yes,,Dinner,Yes,Yes,Yes,,,Yes,A,,,Average,No,Street,Yes,Yes,,,Free,$11-30,Bettolona,Harlem,4,275
37,Yes,No,,Chinese,Yes,Yes,,,Yes,Yes,,,,No,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Free,$11-30,River House Chinese Cuisine,,4,58
38,Yes,Beer & Wine Only,Yes,Malaysian,No,Yes,Yes,"Lunch, Dinner",Yes,Yes,,,,No,A,,Yes,Average,No,Street,Yes,Yes,Yes,,No,$11-30,Malaysia Grill,Manhattan Valley,4,260
40,Yes,Beer & Wine Only,Yes,Traditional American,No,No,Yes,"Brunch, Dinner",Yes,Yes,,,,No,A,,,Average,Yes,Street,Yes,Yes,,,No,$11-30,BLVD Bistro,Harlem,4,626
41,Yes,Full Bar,No,Bars,No,No,Yes,Dinner,Yes,No,Yes,,,No,A,,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,La Diagonal,Harlem,4,141
42,Yes,Beer & Wine Only,Yes,Korean,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,,,,No,A,,,Average,No,Street,Yes,Yes,Yes,No,No,$11-30,Mokja,Manhattan Valley,4,118
43,Yes,,,Sushi,,No,,,Yes,Yes,,,,Yes,A,Yes,Yes,,No,,Yes,No,,,Free,$11-30,Hula Poke,Morningside Heights,4,35
44,No,No,Yes,Italian,No,Yes,,"Lunch, Late Night",Yes,Yes,,,,No,A,,Yes,Average,No,Street,Yes,No,No,,No,Under $10,Koronet Pizza,Morningside Heights,3.5,583
