Amelie,3.914972758,,Doaba Deli,3.914972758,,Doaba Deli,3.914972758,,Kikoo Sushi,3.914972758,,Mel???? Burger Bar,3.914972758,,Seasoned Vegan,3.914972758
Amy Ruth????,3.914972758,,Dun Huang,3.785995708,,Dun Huang,3.785995708,,Kingston,3.914972758,,Melba????,3.914972758,,SGD Dubu So Gong Dong Tofu & BBQ,3.914972758
Antojitos Mexicano El Taco Taco,3.914972758,,e???? BAR,3.914972758,,e???? BAR,3.914972758,,Kitchenette Uptown,3.914972758,,Meyhane,3.914972758,,Shaking Crab - Upper West Side,3.914972758
Artopolis,3.914972758,,El Puerto Seafood,3.914972758,,El Puerto Seafood,3.914972758,,Koko Wings,3.914972758,,Milano Market,3.914972758,,Sliced By Harlem Pizza,3.914972758
Atlas Kitchen,3.785995708,,Flat Top,3.914972758,,Flat Top,3.785995708,,Koronet Pizza,3.914972758,,Mill Korean,3.914972758,,Sottocasa Pizzeria - Harlem,3.914972758
Awash Ethiopian Restaurant,3.914972758,,Flor de Mayo,3.785995708,,Flor de Mayo,3.914972758,,La Diagonal,3.914972758,,Mokja,3.914972758,,Sun-Chan Japanese Restaurant,3.870583146
Babbalucci,3.914972758,,Friedman????,3.914972758,,Friedman????,3.914972758,,La Piccola Cucina,3.914972758,,Namaste India,3.914972758,,sweetgreen,3.914972758
Bar314,3.914972758,,Go! Go! Curry!,3.914972758,,Go! Go! Curry!,3.785995708,,La Savane,3.914972758,,Naruto Ramen,3.914972758,,Sylvia???s Restaurant,3.914972758
Belle Harlem,3.914972758,,Grain House,3.785995708,,Grain House,3.914972758,,Le Monde,3.914972758,,Nous Espresso Grad School Cafe,3.914972758,,Tartina,3.914972758
Bettolona,3.914972758,,Greek Taverna,3.914972758,,Greek Taverna,3.914972758,,Lido,3.914972758,,Oaxaca Taqueria,3.914972758,,Tastings Social Presents Mountain Bird,3.785995708
BLVD Bistro,3.914972758,,Harlem Ale House,3.914972758,,Harlem Ale House,3.914972758,,Lolo???? Seafood Shack,3.914972758,,Olive Tree Deli,3.914972758,,Thai Market,3.914972758
Broadway Restaurant,3.914972758,,Harlem Taco & Bowl Company,3.914972758,,Harlem Taco & Bowl Company,3.914972758,,Loui Loui,3.785995708,,Panchos,3.914972758,,The Heights Bar & Grill,3.914972758
Buceo 95,3.870583146,,Hex & Company,3.914972758,,Hex & Company,3.914972758,,Malaysia Grill,3.914972758,,Pio Pio 6,3.914972758,,The Mermaid Inn,3.741606096
Cantina Taqueria & Tequila Bar,3.914972758,,Hula Poke,3.914972758,,Hula Poke,3.914972758,,MAMA???? TOO!,3.914972758,,Pisticci,3.785995708,,,
Carmine???s Italian Restaurant - Upper West Side,3.870583146,,Infamous Chicken,3.914972758,,Infamous Chicken,3.914972758,,MAMA???S TOO!,3.914972758,,Red Hot Hot Pot,3.785995708,,,
Casa Mexicana,3.914972758,,Isola on Columbus,3.914972758,,Isola on Columbus,3.914972758,,Manna Korean Food,3.914972758,,River House Chinese Cuisine,3.914972758,,,
Chapati House,3.914972758,,Jin Ramen - West Harlem,3.914972758,,Jin Ramen - West Harlem,3.870583146,,Marlow Bistro,3.914972758,,Safari Restaurant NYC,3.785995708,,,
Community Food & Juice,3.914972758,,JJ???? Place,3.870583146,,JJ???? Place,3.785995708,,Massawa,3.914972758,,Saiguette,3.914972758,,,
Dig Inn,3.914972758,,Junzi Kitchen,3.785995708,,Junzi Kitchen,3.914972758,,Max Caffe,3.914972758,,Savann Mediterranean  Cuisine Restaurant,3.785995708,,,
Dive 106,3.914972758,,KALBI,3.914972758,,KALBI,3.914972758,,Max Soha,3.870583146,,SEAK,3.914972758,,,
