Name,Review,Date,Star Rating
Grace N [Upgrade to see in full],ordered [Upgrade to see in full],11/19/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Cate M.,So this [Upgrade to see in full],11/22/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Sara I.,I lovee [Upgrade to see in full],11/19/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Shatara [Upgrade to see in full],Super d [Upgrade to see in full],11/3/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Darnell [Upgrade to see in full],This wa [Upgrade to see in full],11/26/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kwame S [Upgrade to see in full],It was  [Upgrade to see in full],10/20/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Candice [Upgrade to see in full],We arri [Upgrade to see in full],12/6/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Edward  [Upgrade to see in full],Our gro [Upgrade to see in full],10/10/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Eric K.,As an a [Upgrade to see in full],10/8/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Sarai R [Upgrade to see in full],Believe [Upgrade to see in full],11/12/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Melissa [Upgrade to see in full],Substan [Upgrade to see in full],9/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Andrew  [Upgrade to see in full],I don't [Upgrade to see in full],11/3/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Daniel  [Upgrade to see in full],Okay fr [Upgrade to see in full],10/28/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nicole  [Upgrade to see in full],Harlem  [Upgrade to see in full],12/4/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rachel  [Upgrade to see in full],Amy Rut [Upgrade to see in full],7/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Teri L.,This pl [Upgrade to see in full],11/18/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
