Name,Review,Date,Star Rating
Derrick [Upgrade to see in full],This is [Upgrade to see in full],10/23/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kerrie  [Upgrade to see in full],I was s [Upgrade to see in full],7/29/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Scott L [Upgrade to see in full],This ol [Upgrade to see in full],7/4/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Quisha  [Upgrade to see in full],It's am [Upgrade to see in full],9/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Reina S [Upgrade to see in full],An old  [Upgrade to see in full],10/21/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Rachel  [Upgrade to see in full],CLASSIC [Upgrade to see in full],7/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
James G [Upgrade to see in full],I hope  [Upgrade to see in full],11/26/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Zachary [Upgrade to see in full],Very un [Upgrade to see in full],9/7/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Grace S [Upgrade to see in full],I miss  [Upgrade to see in full],5/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Paul Z.,When yo [Upgrade to see in full],10/13/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Marisol [Upgrade to see in full],It's a  [Upgrade to see in full],9/11/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jodi V.,It's re [Upgrade to see in full],6/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Barry S [Upgrade to see in full],My old  [Upgrade to see in full],8/20/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
William [Upgrade to see in full],I love  [Upgrade to see in full],6/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Caitlin [Upgrade to see in full],This is [Upgrade to see in full],8/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Daniel  [Upgrade to see in full],The gre [Upgrade to see in full],8/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jasmine [Upgrade to see in full],Really  [Upgrade to see in full],12/30/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Amanda  [Upgrade to see in full],Broadwa [Upgrade to see in full],5/7/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Philip  [Upgrade to see in full],I'm so  [Upgrade to see in full],6/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Carmen  [Upgrade to see in full],The WOR [Upgrade to see in full],8/19/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Linh V.,Love me [Upgrade to see in full],9/13/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Fernand [Upgrade to see in full],Grew up [Upgrade to see in full],2/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jay E.,Really  [Upgrade to see in full],8/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Sebasti [Upgrade to see in full],"Sorry,  [Upgrade to see in full]",11/8/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Stephan [Upgrade to see in full],Are you [Upgrade to see in full],2/25/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Sandy G [Upgrade to see in full],I love  [Upgrade to see in full],7/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
