Name,Review,Date,Star Rating
Asha S.,Amazing [Upgrade to see in full],8/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Cameron [Upgrade to see in full],I'd lik [Upgrade to see in full],11/4/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Eugene  [Upgrade to see in full],They sa [Upgrade to see in full],7/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Michele [Upgrade to see in full],I came  [Upgrade to see in full],1/12/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Andie E [Upgrade to see in full],3.5 Sta [Upgrade to see in full],8/5/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Mardory [Upgrade to see in full],I am a  [Upgrade to see in full],6/19/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Mikhail [Upgrade to see in full],I'll pu [Upgrade to see in full],5/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Angela  [Upgrade to see in full],Came he [Upgrade to see in full],12/14/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Mariam  [Upgrade to see in full],Really  [Upgrade to see in full],4/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jason K [Upgrade to see in full],Chapati [Upgrade to see in full],3/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Trang B [Upgrade to see in full],Chipotl [Upgrade to see in full],10/23/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jocelyn [Upgrade to see in full],Ordered [Upgrade to see in full],10/22/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
F B.,Just li [Upgrade to see in full],9/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Sundar  [Upgrade to see in full],Good pl [Upgrade to see in full],8/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Debbie  [Upgrade to see in full],Great p [Upgrade to see in full],5/8/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Dpak B.,Been vi [Upgrade to see in full],4/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jeff H.,I've ne [Upgrade to see in full],2/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Raven O [Upgrade to see in full],Indian  [Upgrade to see in full],3/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Scott L [Upgrade to see in full],Chapati [Upgrade to see in full],5/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kathari [Upgrade to see in full],Overall [Upgrade to see in full],12/15/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Angela  [Upgrade to see in full],I had t [Upgrade to see in full],1/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ariana  [Upgrade to see in full],This re [Upgrade to see in full],7/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rewa K.,I was t [Upgrade to see in full],3/17/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Eytan P [Upgrade to see in full],Delicio [Upgrade to see in full],6/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
D T.,Chapati [Upgrade to see in full],6/13/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Pamela  [Upgrade to see in full],What a  [Upgrade to see in full],10/1/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ofunne  [Upgrade to see in full],I love  [Upgrade to see in full],11/28/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Anish P [Upgrade to see in full],This is [Upgrade to see in full],9/9/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Vibhu K [Upgrade to see in full],Solid c [Upgrade to see in full],10/19/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tasha H [Upgrade to see in full],I order [Upgrade to see in full],4/21/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Jennife [Upgrade to see in full],I was a [Upgrade to see in full],1/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Si N.,This is [Upgrade to see in full],4/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sameera [Upgrade to see in full],Meh. It [Upgrade to see in full],2/25/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Laura G [Upgrade to see in full],The Bom [Upgrade to see in full],8/10/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Mif M.,I've go [Upgrade to see in full],9/2/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Rosemar [Upgrade to see in full],I have  [Upgrade to see in full],12/1/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Mi Z.,This is [Upgrade to see in full],2/11/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Heidi W [Upgrade to see in full],This is [Upgrade to see in full],1/7/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nish S.,I stopp [Upgrade to see in full],7/5/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Steph B [Upgrade to see in full],Love th [Upgrade to see in full],10/23/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Whit W.,1st vis [Upgrade to see in full],2/20/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Mary-An [Upgrade to see in full],I enjoy [Upgrade to see in full],3/31/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Hui L.,Not rea [Upgrade to see in full],7/12/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Atif A.,Nice In [Upgrade to see in full],2/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tim C.,I can't [Upgrade to see in full],6/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Chloe C [Upgrade to see in full],Near th [Upgrade to see in full],3/14/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Asmae T [Upgrade to see in full],The ric [Upgrade to see in full],11/16/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Wendy H [Upgrade to see in full],Love th [Upgrade to see in full],3/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Naina Z [Upgrade to see in full],This pl [Upgrade to see in full],2/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Shama M [Upgrade to see in full],This pl [Upgrade to see in full],1/19/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Joe B.,Someone [Upgrade to see in full],12/1/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Janice  [Upgrade to see in full],I absol [Upgrade to see in full],1/31/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Benjami [Upgrade to see in full],This sp [Upgrade to see in full],9/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Raehann [Upgrade to see in full],I just  [Upgrade to see in full],4/20/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Kristen [Upgrade to see in full],Chapati [Upgrade to see in full],1/24/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Deborah [Upgrade to see in full],Pretty  [Upgrade to see in full],2/27/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Susan X [Upgrade to see in full],Rice bo [Upgrade to see in full],6/3/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Connie  [Upgrade to see in full],This pl [Upgrade to see in full],7/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Miranda [Upgrade to see in full],The ser [Upgrade to see in full],8/27/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Michell [Upgrade to see in full],I was h [Upgrade to see in full],10/31/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Empress [Upgrade to see in full],Great p [Upgrade to see in full],8/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Miriam  [Upgrade to see in full],My husb [Upgrade to see in full],8/13/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Chad R.,Love th [Upgrade to see in full],5/2/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Dylan B [Upgrade to see in full],This pl [Upgrade to see in full],7/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lianne  [Upgrade to see in full],My new  [Upgrade to see in full],8/21/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Zach B.,Think C [Upgrade to see in full],6/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Misha T [Upgrade to see in full],Had the [Upgrade to see in full],6/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Julia O [Upgrade to see in full],I adore [Upgrade to see in full],1/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Megan E [Upgrade to see in full],Ordered [Upgrade to see in full],7/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Monica  [Upgrade to see in full],Fresh r [Upgrade to see in full],10/15/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Anastac [Upgrade to see in full],Woohoo! [Upgrade to see in full],2/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Mario S [Upgrade to see in full],Afforda [Upgrade to see in full],1/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Mimi L.,This pl [Upgrade to see in full],2/2/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Laurie  [Upgrade to see in full],Not bad [Upgrade to see in full],3/2/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Taísa N [Upgrade to see in full],If you' [Upgrade to see in full],1/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Robin C [Upgrade to see in full],Just a  [Upgrade to see in full],2/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sarah M [Upgrade to see in full],First o [Upgrade to see in full],10/30/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Darrell [Upgrade to see in full],If Chip [Upgrade to see in full],3/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Dialm4  [Upgrade to see in full],I got l [Upgrade to see in full],9/18/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Colleen [Upgrade to see in full],Staff w [Upgrade to see in full],3/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ria L.,Delicio [Upgrade to see in full],9/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sandra  [Upgrade to see in full],I love  [Upgrade to see in full],5/22/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Jennife [Upgrade to see in full],I order [Upgrade to see in full],10/8/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Andrea  [Upgrade to see in full],Ordered [Upgrade to see in full],1/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ree N.,it was  [Upgrade to see in full],1/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Tisha T [Upgrade to see in full],It was  [Upgrade to see in full],1/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Possofa [Upgrade to see in full],Great p [Upgrade to see in full],12/29/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Laura H [Upgrade to see in full],I found [Upgrade to see in full],2/27/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Anthony [Upgrade to see in full],I came  [Upgrade to see in full],10/9/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Joseph  [Upgrade to see in full],Update. [Upgrade to see in full],12/10/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jackie  [Upgrade to see in full],Just fi [Upgrade to see in full],10/16/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Emanuel [Upgrade to see in full],I just  [Upgrade to see in full],9/20/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jane Z.,This cl [Upgrade to see in full],8/14/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Philip  [Upgrade to see in full],Let's k [Upgrade to see in full],6/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
HJ P.,Everyth [Upgrade to see in full],5/2/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Siyun Z [Upgrade to see in full],Very qu [Upgrade to see in full],9/17/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Shreyas [Upgrade to see in full],Big fan [Upgrade to see in full],7/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Lolie V [Upgrade to see in full],I was v [Upgrade to see in full],11/30/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Alec J.,I come  [Upgrade to see in full],5/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lindsay [Upgrade to see in full],Quality [Upgrade to see in full],9/7/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Brigett [Upgrade to see in full],I was a [Upgrade to see in full],9/4/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jon A.,The emp [Upgrade to see in full],4/13/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Remi C.,Super n [Upgrade to see in full],1/10/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Allie K [Upgrade to see in full],I'm sur [Upgrade to see in full],9/18/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
J. P.,For wha [Upgrade to see in full],2/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Katy U.,I've tr [Upgrade to see in full],4/5/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tejas D [Upgrade to see in full],Great I [Upgrade to see in full],10/26/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jared O [Upgrade to see in full],I order [Upgrade to see in full],6/3/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Sean D.,Great c [Upgrade to see in full],6/2/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Edjanin [Upgrade to see in full],This pl [Upgrade to see in full],10/20/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Laksen  [Upgrade to see in full],Recentl [Upgrade to see in full],7/2/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
D G.,Favorit [Upgrade to see in full],3/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Unversi [Upgrade to see in full],I was i [Upgrade to see in full],5/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Michael [Upgrade to see in full],We call [Upgrade to see in full],5/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Nakul V [Upgrade to see in full],Delicio [Upgrade to see in full],3/31/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rahul B [Upgrade to see in full],The foo [Upgrade to see in full],1/9/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Evan H.,Nice ne [Upgrade to see in full],12/9/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kait S.,A good  [Upgrade to see in full],5/3/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Pete B.,We had  [Upgrade to see in full],2/4/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Matthew [Upgrade to see in full],Chapati [Upgrade to see in full],2/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sumanth [Upgrade to see in full],This pl [Upgrade to see in full],1/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Chris L [Upgrade to see in full],Great a [Upgrade to see in full],8/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
MaraLee [Upgrade to see in full],I wante [Upgrade to see in full],9/23/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Heather [Upgrade to see in full],I am he [Upgrade to see in full],1/24/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Chelsea [Upgrade to see in full],Definit [Upgrade to see in full],6/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nick F.,The Chi [Upgrade to see in full],1/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Mel J.,Love lo [Upgrade to see in full],1/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Max R.,Good Lo [Upgrade to see in full],9/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
H. S.,mm what [Upgrade to see in full],9/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jackie  [Upgrade to see in full],Very fi [Upgrade to see in full],4/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Mas H.,I order [Upgrade to see in full],1/14/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Lesley  [Upgrade to see in full],Love th [Upgrade to see in full],7/30/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
June L.,Must tr [Upgrade to see in full],11/20/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
J B.,This pl [Upgrade to see in full],3/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Mandy N [Upgrade to see in full],This pl [Upgrade to see in full],7/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Asad R.,Wasn't  [Upgrade to see in full],7/10/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Bb H.,This pl [Upgrade to see in full],7/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Erin K.,I come  [Upgrade to see in full],2/15/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ravi J.,Not sur [Upgrade to see in full],11/2/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Rishi R [Upgrade to see in full],I would [Upgrade to see in full],8/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Chaitan [Upgrade to see in full],They've [Upgrade to see in full],8/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
P. T.,Its fas [Upgrade to see in full],6/19/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Malaika [Upgrade to see in full],Fast de [Upgrade to see in full],6/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Anca M.,Absolut [Upgrade to see in full],1/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Fashion [Upgrade to see in full],This pl [Upgrade to see in full],5/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jennife [Upgrade to see in full],I reall [Upgrade to see in full],4/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rosie S [Upgrade to see in full],This wa [Upgrade to see in full],3/6/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Mary H.,Fast ca [Upgrade to see in full],6/5/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Trish A [Upgrade to see in full],This pl [Upgrade to see in full],2/10/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Spoorth [Upgrade to see in full],You can [Upgrade to see in full],5/31/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Nevena  [Upgrade to see in full],Chapati [Upgrade to see in full],11/15/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Breanna [Upgrade to see in full],The foo [Upgrade to see in full],3/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Andrew  [Upgrade to see in full],A mix o [Upgrade to see in full],3/5/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
C.J. T.,Hooray  [Upgrade to see in full],12/17/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Willis  [Upgrade to see in full],This pl [Upgrade to see in full],4/28/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jessica [Upgrade to see in full],I order [Upgrade to see in full],5/27/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Melissa [Upgrade to see in full],I still [Upgrade to see in full],6/3/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Mel B.,I haven [Upgrade to see in full],12/8/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rob T.,I am gi [Upgrade to see in full],7/17/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Bryan D [Upgrade to see in full],Chapati [Upgrade to see in full],2/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
M.A. M.,This wa [Upgrade to see in full],2/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Dana C.,i live  [Upgrade to see in full],2/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Liliana [Upgrade to see in full],This pl [Upgrade to see in full],1/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Miki M.,The Ind [Upgrade to see in full],1/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jason E [Upgrade to see in full],"So far, [Upgrade to see in full]",12/31/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
