Name,Review,Date,Star Rating,restaurant
Bowen L [Upgrade to see in full],They ha [Upgrade to see in full],10/24/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Vichet  [Upgrade to see in full],I see y [Upgrade to see in full],12/3/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Dive 106
Bill T.,Awesome [Upgrade to see in full],10/25/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Dive 106
Claire  [Upgrade to see in full],What a  [Upgrade to see in full],12/5/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Kwame S [Upgrade to see in full],Pretty  [Upgrade to see in full],10/19/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Dive 106
Emy C.,Good fo [Upgrade to see in full],12/5/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Scott L [Upgrade to see in full],This lo [Upgrade to see in full],6/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Dive 106
Eric H.,A class [Upgrade to see in full],9/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
R P.,GET THE [Upgrade to see in full],10/19/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Dive 106
Gregg V [Upgrade to see in full],A jewel [Upgrade to see in full],10/4/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Varand  [Upgrade to see in full],Got gre [Upgrade to see in full],9/5/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Brandon [Upgrade to see in full],This is [Upgrade to see in full],10/17/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Eddie M [Upgrade to see in full],Lacking [Upgrade to see in full],7/29/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Dive 106
Taylor  [Upgrade to see in full],We have [Upgrade to see in full],7/14/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Josh R.,Awesome [Upgrade to see in full],10/27/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Tyler L [Upgrade to see in full],My frie [Upgrade to see in full],8/19/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Amanda  [Upgrade to see in full],Glad to [Upgrade to see in full],8/31/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Katy A.,Great n [Upgrade to see in full],7/15/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Chris M [Upgrade to see in full],Came he [Upgrade to see in full],7/15/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Nash V.,This a  [Upgrade to see in full],10/19/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Heather [Upgrade to see in full],Texas f [Upgrade to see in full],7/19/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Rey S.,Great s [Upgrade to see in full],8/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Yael D.,What a  [Upgrade to see in full],9/21/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
Antonia [Upgrade to see in full],New nei [Upgrade to see in full],7/12/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Dive 106
Hannah  [Upgrade to see in full],Stumble [Upgrade to see in full],7/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Dive 106
