Name,Review,Date,Star Rating
Kevin C [Upgrade to see in full],Consist [Upgrade to see in full],12/1/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Chris G [Upgrade to see in full],Flor De [Upgrade to see in full],11/3/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ana L.,They ha [Upgrade to see in full],9/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sophie  [Upgrade to see in full],"Okay, t [Upgrade to see in full]",9/27/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jonghan [Upgrade to see in full],"Yes, ye [Upgrade to see in full]",9/21/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Josephi [Upgrade to see in full],So I ba [Upgrade to see in full],11/21/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Michael [Upgrade to see in full],Went fo [Upgrade to see in full],10/12/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jamie M [Upgrade to see in full],Came he [Upgrade to see in full],11/19/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Daniel  [Upgrade to see in full],So the  [Upgrade to see in full],12/1/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Shoshan [Upgrade to see in full],Very di [Upgrade to see in full],3/18/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Darya S [Upgrade to see in full],Flor de [Upgrade to see in full],2/4/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Angeliq [Upgrade to see in full],Excelle [Upgrade to see in full],8/12/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Chris P [Upgrade to see in full],This wa [Upgrade to see in full],7/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Carolyn [Upgrade to see in full],Flor de [Upgrade to see in full],10/8/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kashif  [Upgrade to see in full],This de [Upgrade to see in full],12/3/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Valerie [Upgrade to see in full],We were [Upgrade to see in full],6/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Amol U.,"Casual, [Upgrade to see in full]",6/8/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Lisa M.,Food wa [Upgrade to see in full],11/21/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
NE T.,Had the [Upgrade to see in full],10/14/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Emi B.,Have he [Upgrade to see in full],1/6/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Carrie  [Upgrade to see in full],Made my [Upgrade to see in full],10/29/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kay M.,So I Ca [Upgrade to see in full],10/9/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Ani S.,Super a [Upgrade to see in full],9/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Josie J [Upgrade to see in full],Althoug [Upgrade to see in full],8/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Yuting  [Upgrade to see in full],Sunday  [Upgrade to see in full],10/29/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Melvill [Upgrade to see in full],Flor de [Upgrade to see in full],10/6/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rebecca [Upgrade to see in full],Stumble [Upgrade to see in full],11/26/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Samanth [Upgrade to see in full],Love th [Upgrade to see in full],5/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Annabel [Upgrade to see in full],I'd giv [Upgrade to see in full],11/4/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Chantel [Upgrade to see in full],The foo [Upgrade to see in full],11/27/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jessie  [Upgrade to see in full],We orde [Upgrade to see in full],11/9/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jamilah [Upgrade to see in full],If I co [Upgrade to see in full],9/25/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Dimitri [Upgrade to see in full],Simply  [Upgrade to see in full],3/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Celeste [Upgrade to see in full],So one  [Upgrade to see in full],11/6/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kevin A [Upgrade to see in full],This us [Upgrade to see in full],7/3/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
