Name,Review,Date,Star Rating
Akriti  [Upgrade to see in full],I am a  [Upgrade to see in full],11/10/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Leila M [Upgrade to see in full],I use t [Upgrade to see in full],9/3/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Sy Y.,Went fo [Upgrade to see in full],8/13/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Annette [Upgrade to see in full],We just [Upgrade to see in full],7/28/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Dianne  [Upgrade to see in full],I enjoy [Upgrade to see in full],6/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nicole  [Upgrade to see in full],Ordered [Upgrade to see in full],6/4/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Mo M.,Ordered [Upgrade to see in full],10/30/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nick S.,We went [Upgrade to see in full],8/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Cynthia [Upgrade to see in full],Peter f [Upgrade to see in full],10/28/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
A C.,Really  [Upgrade to see in full],4/29/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Erica M [Upgrade to see in full],I asked [Upgrade to see in full],10/26/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Daniell [Upgrade to see in full],My boyf [Upgrade to see in full],9/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jillian [Upgrade to see in full],The foo [Upgrade to see in full],8/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Marrero [Upgrade to see in full],I have  [Upgrade to see in full],8/2/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jim A.,I like  [Upgrade to see in full],7/2/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Adele P [Upgrade to see in full],Good bu [Upgrade to see in full],6/17/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jessica [Upgrade to see in full],Ordered [Upgrade to see in full],11/10/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Rachel  [Upgrade to see in full],My husb [Upgrade to see in full],6/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ireen K [Upgrade to see in full],General [Upgrade to see in full],9/27/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Jessica [Upgrade to see in full],Had a w [Upgrade to see in full],3/30/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Michell [Upgrade to see in full],Really  [Upgrade to see in full],4/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Stuart  [Upgrade to see in full],Yes I h [Upgrade to see in full],4/11/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Karen D [Upgrade to see in full],Had an  [Upgrade to see in full],3/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
