Name,Review,Date,Star Rating,restaurant
Corey V [Upgrade to see in full],To quot [Upgrade to see in full],6/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Jun J.,It was  [Upgrade to see in full],6/30/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Infamous Chicken
Tijana  [Upgrade to see in full],I am re [Upgrade to see in full],6/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Victor  [Upgrade to see in full],Do NOT  [Upgrade to see in full],12/2/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Infamous Chicken
Sammy J [Upgrade to see in full],The fla [Upgrade to see in full],11/28/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Infamous Chicken
Karina  [Upgrade to see in full],Great s [Upgrade to see in full],10/9/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Infamous Chicken
Judy C.,Went fo [Upgrade to see in full],10/2/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Jori Ro [Upgrade to see in full],Infamou [Upgrade to see in full],7/2/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Alex A.,Just ha [Upgrade to see in full],8/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Eddie M [Upgrade to see in full],Drinks  [Upgrade to see in full],8/4/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Infamous Chicken
Yichi Z [Upgrade to see in full],Great p [Upgrade to see in full],10/6/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Infamous Chicken
Jelena  [Upgrade to see in full],Lovely  [Upgrade to see in full],6/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Terence [Upgrade to see in full],Best Ch [Upgrade to see in full],9/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Infamous Chicken
Kara H.,Great a [Upgrade to see in full],10/11/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Nicole  [Upgrade to see in full],Im so g [Upgrade to see in full],6/14/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Tray W.,My husb [Upgrade to see in full],6/17/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Infamous Chicken
Hannah  [Upgrade to see in full],The foo [Upgrade to see in full],10/11/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Infamous Chicken
Zach G.,Nice at [Upgrade to see in full],9/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Karen G [Upgrade to see in full],Love th [Upgrade to see in full],11/13/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Alyssa  [Upgrade to see in full],The chi [Upgrade to see in full],9/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Dominic [Upgrade to see in full],Great e [Upgrade to see in full],9/13/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Tamar E [Upgrade to see in full],Great f [Upgrade to see in full],7/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Lisha P [Upgrade to see in full],We came [Upgrade to see in full],7/10/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Infamous Chicken
Joca S.,I came  [Upgrade to see in full],7/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Nicole  [Upgrade to see in full],Love th [Upgrade to see in full],8/18/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Infamous Chicken
M M.,My husb [Upgrade to see in full],8/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Infamous Chicken
Christi [Upgrade to see in full],Three s [Upgrade to see in full],10/21/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Infamous Chicken
Ray D.,Not sur [Upgrade to see in full],7/15/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Infamous Chicken
Jeffrey [Upgrade to see in full],We real [Upgrade to see in full],8/4/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Infamous Chicken
Emily D [Upgrade to see in full],So exci [Upgrade to see in full],6/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Britt H [Upgrade to see in full],Darko i [Upgrade to see in full],8/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
David L [Upgrade to see in full],Disappo [Upgrade to see in full],6/13/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Infamous Chicken
Michael [Upgrade to see in full],This a  [Upgrade to see in full],8/5/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Infamous Chicken
T N.,What a  [Upgrade to see in full],7/4/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Infamous Chicken
Michiel [Upgrade to see in full],Beautif [Upgrade to see in full],7/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Infamous Chicken
Maya G.,The foo [Upgrade to see in full],7/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Infamous Chicken
