Name,Review,Date,Star Rating
Sheryl  [Upgrade to see in full],The Jer [Upgrade to see in full],9/15/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Erica H [Upgrade to see in full],My frie [Upgrade to see in full],9/20/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Rhondel [Upgrade to see in full],This is [Upgrade to see in full],7/28/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Ray J.,Sorry g [Upgrade to see in full],6/28/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Nish H.,I loved [Upgrade to see in full],11/16/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
B K.,Love th [Upgrade to see in full],11/24/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Denisse [Upgrade to see in full],If you  [Upgrade to see in full],7/4/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Latifia [Upgrade to see in full],We had  [Upgrade to see in full],10/6/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Catina  [Upgrade to see in full],Loved t [Upgrade to see in full],10/3/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tia G.,Love hi [Upgrade to see in full],9/2/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lee S.,I'm sor [Upgrade to see in full],6/22/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Imani W [Upgrade to see in full],I met u [Upgrade to see in full],10/3/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Aisha T [Upgrade to see in full],What a  [Upgrade to see in full],9/21/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Nana B.,Kingsto [Upgrade to see in full],10/3/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Dee I.,Love lo [Upgrade to see in full],10/12/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Mari C.,The foo [Upgrade to see in full],9/15/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jacquel [Upgrade to see in full],This is [Upgrade to see in full],9/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tee M.,Amazing [Upgrade to see in full],2/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tom T.,So grea [Upgrade to see in full],1/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Francis [Upgrade to see in full],Spicy P [Upgrade to see in full],8/10/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
My A.,I reall [Upgrade to see in full],7/21/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Brittan [Upgrade to see in full],There i [Upgrade to see in full],6/23/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Mickei  [Upgrade to see in full],I dined [Upgrade to see in full],12/22/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
C T.,Walked  [Upgrade to see in full],6/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Afua D.,Stumble [Upgrade to see in full],9/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Barbara [Upgrade to see in full],"Very, c [Upgrade to see in full]",6/2/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Tiffany [Upgrade to see in full],So I ha [Upgrade to see in full],6/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Harry J [Upgrade to see in full],this pl [Upgrade to see in full],9/9/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Lawrenc [Upgrade to see in full],The jer [Upgrade to see in full],3/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ashley  [Upgrade to see in full],Great f [Upgrade to see in full],9/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Charles [Upgrade to see in full],Great F [Upgrade to see in full],9/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Stephan [Upgrade to see in full],Ordered [Upgrade to see in full],5/11/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Jason W [Upgrade to see in full],A great [Upgrade to see in full],1/27/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Courtne [Upgrade to see in full],Slow se [Upgrade to see in full],6/22/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Kevin H [Upgrade to see in full],Went to [Upgrade to see in full],1/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alvin B [Upgrade to see in full],THE FOO [Upgrade to see in full],8/5/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Catheri [Upgrade to see in full],Oh my g [Upgrade to see in full],10/31/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Raheem  [Upgrade to see in full],Came he [Upgrade to see in full],2/21/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
