Name,Review,Date,Star Rating,restaurant
Eugene  [Upgrade to see in full],On a qu [Upgrade to see in full],9/5/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Sherry  [Upgrade to see in full],Ridicul [Upgrade to see in full],10/13/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Kitchenette Uptown
Daniell [Upgrade to see in full],Poor se [Upgrade to see in full],9/11/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Kitchenette Uptown
Ali K.,Next to [Upgrade to see in full],8/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Keemy U [Upgrade to see in full],This is [Upgrade to see in full],8/24/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Kitchenette Uptown
Rolo C.,Nice mi [Upgrade to see in full],9/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Renee C [Upgrade to see in full],In Janu [Upgrade to see in full],12/4/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Molly L [Upgrade to see in full],I was a [Upgrade to see in full],11/17/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Kitchenette Uptown
Abby B.,Cute li [Upgrade to see in full],7/31/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
Veronic [Upgrade to see in full],What a  [Upgrade to see in full],4/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Sharon  [Upgrade to see in full],This is [Upgrade to see in full],4/29/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
Alyssa  [Upgrade to see in full],Kitchen [Upgrade to see in full],9/2/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Rolanda [Upgrade to see in full],My firs [Upgrade to see in full],7/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Chanel  [Upgrade to see in full],Came he [Upgrade to see in full],11/3/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Kitchenette Uptown
Freida  [Upgrade to see in full],I reall [Upgrade to see in full],2/21/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Sabina  [Upgrade to see in full],I had h [Upgrade to see in full],6/26/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Kitchenette Uptown
Flora K [Upgrade to see in full],Last ti [Upgrade to see in full],10/16/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Kitchenette Uptown
Lynn L.,First t [Upgrade to see in full],6/27/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
Kevin S [Upgrade to see in full],Everyth [Upgrade to see in full],11/11/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Monika  [Upgrade to see in full],The peo [Upgrade to see in full],6/27/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
Allison [Upgrade to see in full],I did w [Upgrade to see in full],11/27/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
Gigi S.,I live  [Upgrade to see in full],3/31/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Kitchenette Uptown
Jasmine [Upgrade to see in full],Came he [Upgrade to see in full],6/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Richard [Upgrade to see in full],An abso [Upgrade to see in full],9/2/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Rheo S.,I order [Upgrade to see in full],4/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Sher K.,Biscuit [Upgrade to see in full],9/9/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Daniell [Upgrade to see in full],I paid  [Upgrade to see in full],9/3/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Kitchenette Uptown
nycteac [Upgrade to see in full],I used  [Upgrade to see in full],8/22/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Kitchenette Uptown
Paul S.,This is [Upgrade to see in full],1/2/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
Gabby U [Upgrade to see in full],Walking [Upgrade to see in full],7/13/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
Carl D.,Very ni [Upgrade to see in full],8/2/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Daniell [Upgrade to see in full],I order [Upgrade to see in full],10/13/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Kitchenette Uptown
Lidia D [Upgrade to see in full],Cute li [Upgrade to see in full],2/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Just S.,Sunday  [Upgrade to see in full],7/22/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
Ivy C.,Charmin [Upgrade to see in full],7/9/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Eric Z.,Very cu [Upgrade to see in full],7/6/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Paul Z.,Our din [Upgrade to see in full],4/30/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Diane B [Upgrade to see in full],Brunch  [Upgrade to see in full],6/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Archer  [Upgrade to see in full],Went fo [Upgrade to see in full],7/2/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Kitchenette Uptown
Doug K.,Nice qu [Upgrade to see in full],6/24/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
Mariam  [Upgrade to see in full],Pros:-  [Upgrade to see in full],3/1/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
Jocelyn [Upgrade to see in full],This re [Upgrade to see in full],3/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Karen M [Upgrade to see in full],The bak [Upgrade to see in full],5/10/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Kitchenette Uptown
Roberto [Upgrade to see in full],Its ove [Upgrade to see in full],3/12/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Kitchenette Uptown
Delisa  [Upgrade to see in full],This is [Upgrade to see in full],5/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Amanda  [Upgrade to see in full],While o [Upgrade to see in full],12/12/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
Evelyn  [Upgrade to see in full],I came  [Upgrade to see in full],1/8/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Errol B [Upgrade to see in full],Food wa [Upgrade to see in full],9/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Sarah A [Upgrade to see in full],Everyth [Upgrade to see in full],1/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Samir K [Upgrade to see in full],I order [Upgrade to see in full],8/11/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
Kelisia [Upgrade to see in full],Cute re [Upgrade to see in full],6/12/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Astrid  [Upgrade to see in full],I canno [Upgrade to see in full],1/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Chérie  [Upgrade to see in full],This is [Upgrade to see in full],7/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Wendy S [Upgrade to see in full],not man [Upgrade to see in full],7/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Amanda  [Upgrade to see in full],The foo [Upgrade to see in full],12/2/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Kitchenette Uptown
Moshe S [Upgrade to see in full],It is a [Upgrade to see in full],2/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Lorrain [Upgrade to see in full],The foo [Upgrade to see in full],2/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Marcell [Upgrade to see in full],Pancake [Upgrade to see in full],3/5/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Kitchenette Uptown
Monkey  [Upgrade to see in full],This is [Upgrade to see in full],11/7/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Kitchenette Uptown
Brian W [Upgrade to see in full],In subs [Upgrade to see in full],6/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Damieon [Upgrade to see in full],From th [Upgrade to see in full],2/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Dounia  [Upgrade to see in full],Really  [Upgrade to see in full],4/30/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Kitchenette Uptown
Hope M.,Super c [Upgrade to see in full],2/24/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Fazeela [Upgrade to see in full],Alert:  [Upgrade to see in full],5/31/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Kitchenette Uptown
Kasha J [Upgrade to see in full],THIS RE [Upgrade to see in full],9/19/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
Bill B.,Gross.  [Upgrade to see in full],2/6/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Kitchenette Uptown
Michael [Upgrade to see in full],Everyon [Upgrade to see in full],12/15/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Kitchenette Uptown
Ines P.,I'm giv [Upgrade to see in full],6/1/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Kitchenette Uptown
Elizabe [Upgrade to see in full],This pl [Upgrade to see in full],5/29/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Kitchenette Uptown
