Name,Review,Date,Star Rating,restaurant
Brian C [Upgrade to see in full],"Cozy, d [Upgrade to see in full]",4/2/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],La Savane
Jedrzej [Upgrade to see in full],Incredi [Upgrade to see in full],12/5/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],La Savane
Lynn L.,First t [Upgrade to see in full],10/20/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],La Savane
patrick [Upgrade to see in full],Well do [Upgrade to see in full],1/6/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],La Savane
Ian C.,"Ok, not [Upgrade to see in full]",6/13/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],La Savane
J I.,This pl [Upgrade to see in full],4/3/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],La Savane
Fatima  [Upgrade to see in full],I went  [Upgrade to see in full],10/4/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],La Savane
L G.,The dec [Upgrade to see in full],5/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],La Savane
Soraya  [Upgrade to see in full],The foo [Upgrade to see in full],11/4/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],La Savane
Yemi O.,The foo [Upgrade to see in full],10/17/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],La Savane
Mary C.,This is [Upgrade to see in full],1/2/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],La Savane
Bree R.,Incroya [Upgrade to see in full],10/10/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],La Savane
Mimi F.,This is [Upgrade to see in full],8/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],La Savane
Suzette [Upgrade to see in full],Amazing [Upgrade to see in full],1/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],La Savane
Mary G.,The foo [Upgrade to see in full],4/23/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],La Savane
Lee Lee [Upgrade to see in full],I order [Upgrade to see in full],5/18/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],La Savane
Carmine [Upgrade to see in full],Amazing [Upgrade to see in full],4/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],La Savane
Dan T.,Aside f [Upgrade to see in full],9/16/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],La Savane
Rasoari [Upgrade to see in full],Because [Upgrade to see in full],10/12/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],La Savane
