Name,Review,Date,Star Rating,restaurant
Trang B [Upgrade to see in full],Very Fr [Upgrade to see in full],11/30/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Le Monde
Rochell [Upgrade to see in full],I looke [Upgrade to see in full],11/28/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Le Monde
Fiona L [Upgrade to see in full],I'm usu [Upgrade to see in full],10/22/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Le Monde
Benjami [Upgrade to see in full],Solid b [Upgrade to see in full],6/24/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Le Monde
Alicia  [Upgrade to see in full],You kno [Upgrade to see in full],8/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Le Monde
Carl D.,Loved t [Upgrade to see in full],9/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Le Monde
Ruth U.,Excelle [Upgrade to see in full],10/29/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Le Monde
Fredric [Upgrade to see in full],Had din [Upgrade to see in full],10/30/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Le Monde
CJ R.,I had m [Upgrade to see in full],6/25/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Le Monde
Glenn N [Upgrade to see in full],Stopped [Upgrade to see in full],4/8/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Le Monde
Amanda  [Upgrade to see in full],Good fo [Upgrade to see in full],6/9/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Le Monde
Dave S.,Food an [Upgrade to see in full],10/21/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Le Monde
Jim P.,Fantast [Upgrade to see in full],9/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Le Monde
George  [Upgrade to see in full],Le Mond [Upgrade to see in full],4/9/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Le Monde
Angela  [Upgrade to see in full],Came he [Upgrade to see in full],12/20/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Le Monde
Evan H.,I had h [Upgrade to see in full],5/9/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Le Monde
Luis D.,This is [Upgrade to see in full],9/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Le Monde
Philip  [Upgrade to see in full],Well I  [Upgrade to see in full],9/2/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Le Monde
Gary G.,I just  [Upgrade to see in full],10/20/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Le Monde
Peter K [Upgrade to see in full],If you' [Upgrade to see in full],9/16/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Le Monde
Amanda  [Upgrade to see in full],Hubbs a [Upgrade to see in full],12/16/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Le Monde
Leslie  [Upgrade to see in full],Came in [Upgrade to see in full],2/10/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Le Monde
Jolene  [Upgrade to see in full],Sat at  [Upgrade to see in full],2/6/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Le Monde
Kristín [Upgrade to see in full],Went th [Upgrade to see in full],2/17/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Le Monde
Jane R.,Le Mond [Upgrade to see in full],12/15/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Le Monde
