Name,Review,Date,Star Rating
Raven P [Upgrade to see in full],Now I'v [Upgrade to see in full],7/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ana L.,Shrimp: [Upgrade to see in full],11/6/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Hansong [Upgrade to see in full],A great [Upgrade to see in full],8/4/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Rosaura [Upgrade to see in full],I came  [Upgrade to see in full],10/31/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Scott B [Upgrade to see in full],Note I' [Upgrade to see in full],3/14/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Chris C [Upgrade to see in full],Among m [Upgrade to see in full],11/9/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Hannah  [Upgrade to see in full],It's od [Upgrade to see in full],3/24/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Julisa  [Upgrade to see in full],Food wa [Upgrade to see in full],11/17/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Kay W.,I came  [Upgrade to see in full],11/1/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Michell [Upgrade to see in full],Visited [Upgrade to see in full],8/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Vivian  [Upgrade to see in full],We rode [Upgrade to see in full],10/8/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
LaToya  [Upgrade to see in full],We had  [Upgrade to see in full],7/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ken C.,Just we [Upgrade to see in full],10/26/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jamil M [Upgrade to see in full],This re [Upgrade to see in full],2/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Uhura B [Upgrade to see in full],Incredi [Upgrade to see in full],6/13/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Aaron L [Upgrade to see in full],The pla [Upgrade to see in full],6/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Diane A [Upgrade to see in full],That th [Upgrade to see in full],1/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Elena S [Upgrade to see in full],1. Not  [Upgrade to see in full],6/19/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Gina S.,I love  [Upgrade to see in full],6/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Joe H.,I've be [Upgrade to see in full],11/3/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Zijing  [Upgrade to see in full],Great s [Upgrade to see in full],9/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Bernice [Upgrade to see in full],This he [Upgrade to see in full],8/19/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nicole  [Upgrade to see in full],The foo [Upgrade to see in full],5/10/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jina L.,Friendl [Upgrade to see in full],8/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Hana L.,Amazing [Upgrade to see in full],7/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
