Name,Review,Date,Star Rating
Anna L.,Food wa [Upgrade to see in full],8/21/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kristie [Upgrade to see in full],Came to [Upgrade to see in full],7/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Foodie  [Upgrade to see in full],My wait [Upgrade to see in full],7/6/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Eddie M [Upgrade to see in full],Mel's b [Upgrade to see in full],11/6/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kwame S [Upgrade to see in full],"Beer, b [Upgrade to see in full]",6/10/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nychoop [Upgrade to see in full],Their b [Upgrade to see in full],11/18/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Mark S.,I reall [Upgrade to see in full],4/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Diamond [Upgrade to see in full],This wa [Upgrade to see in full],1/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Brian S [Upgrade to see in full],I've on [Upgrade to see in full],2/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Rob R.,Everyth [Upgrade to see in full],11/23/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
June L.,Average [Upgrade to see in full],9/15/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Jon W.,Great B [Upgrade to see in full],9/30/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Christi [Upgrade to see in full],Great f [Upgrade to see in full],5/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sophia  [Upgrade to see in full],My elde [Upgrade to see in full],11/18/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Angely  [Upgrade to see in full],I've at [Upgrade to see in full],3/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Scott T [Upgrade to see in full],Consist [Upgrade to see in full],3/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
McQuay  [Upgrade to see in full],WOW! Bu [Upgrade to see in full],10/25/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Eugene  [Upgrade to see in full],So unfo [Upgrade to see in full],7/8/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Madelin [Upgrade to see in full],This is [Upgrade to see in full],9/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kimarah [Upgrade to see in full],I reall [Upgrade to see in full],7/22/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Shaji K [Upgrade to see in full],Saw thi [Upgrade to see in full],8/15/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Justin  [Upgrade to see in full],Ok I ha [Upgrade to see in full],1/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kym G.,A frien [Upgrade to see in full],2/17/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Lily K.,I love  [Upgrade to see in full],9/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Nathan  [Upgrade to see in full],I love  [Upgrade to see in full],9/21/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Carlos  [Upgrade to see in full],Came to [Upgrade to see in full],1/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Victori [Upgrade to see in full],When we [Upgrade to see in full],6/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Grace C [Upgrade to see in full],Despite [Upgrade to see in full],2/19/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rodrigo [Upgrade to see in full],Love th [Upgrade to see in full],6/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Elena B [Upgrade to see in full],I am ve [Upgrade to see in full],11/5/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Lauriel [Upgrade to see in full],Wheneve [Upgrade to see in full],5/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alice A [Upgrade to see in full],Mel's b [Upgrade to see in full],10/1/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kyle L.,Recentl [Upgrade to see in full],9/20/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Basilmo [Upgrade to see in full],This is [Upgrade to see in full],2/27/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jason K [Upgrade to see in full],Doing B [Upgrade to see in full],3/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Matthew [Upgrade to see in full],The ser [Upgrade to see in full],6/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Marg R.,Alright [Upgrade to see in full],2/26/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
None Of [Upgrade to see in full],This is [Upgrade to see in full],2/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ben G.,My expe [Upgrade to see in full],10/30/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
