Name,Review,Date,Star Rating,restaurant
Justyne [Upgrade to see in full],The bee [Upgrade to see in full],11/28/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Nous Espresso Grad School Cafe
June S.,You nee [Upgrade to see in full],8/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Nous Espresso Grad School Cafe
Melissa [Upgrade to see in full],I'm a b [Upgrade to see in full],5/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Nous Espresso Grad School Cafe
Ankita  [Upgrade to see in full],This is [Upgrade to see in full],5/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Nous Espresso Grad School Cafe
Victori [Upgrade to see in full],You act [Upgrade to see in full],12/21/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Nous Espresso Grad School Cafe
Sophia  [Upgrade to see in full],Love th [Upgrade to see in full],8/20/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Nous Espresso Grad School Cafe
Nicole  [Upgrade to see in full],If you' [Upgrade to see in full],12/28/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Nous Espresso Grad School Cafe
Eva M.,$5.65 f [Upgrade to see in full],10/9/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Nous Espresso Grad School Cafe
Krista  [Upgrade to see in full],When it [Upgrade to see in full],10/5/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Nous Espresso Grad School Cafe
Sarah M [Upgrade to see in full],Best co [Upgrade to see in full],11/4/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Nous Espresso Grad School Cafe
Gahee L [Upgrade to see in full],I'm sur [Upgrade to see in full],4/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Nous Espresso Grad School Cafe
Miranda [Upgrade to see in full],Grad st [Upgrade to see in full],8/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Nous Espresso Grad School Cafe
Kelly Z [Upgrade to see in full],So in g [Upgrade to see in full],10/19/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Nous Espresso Grad School Cafe
