Name,Review,Date,Star Rating,restaurant
Ronise  [Upgrade to see in full],I can s [Upgrade to see in full],10/14/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Jack M.,We pick [Upgrade to see in full],7/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Darya S [Upgrade to see in full],Pio Pio [Upgrade to see in full],7/15/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Pio Pio 6
Carolin [Upgrade to see in full],Pio Pio [Upgrade to see in full],11/26/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Rossy M [Upgrade to see in full],I visit [Upgrade to see in full],9/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Mif M.,Came he [Upgrade to see in full],11/25/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Jay R.,Went to [Upgrade to see in full],11/26/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Jane Y.,If Peru [Upgrade to see in full],5/31/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Renée G [Upgrade to see in full],I'm a P [Upgrade to see in full],3/17/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Jose D.,Food is [Upgrade to see in full],11/21/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Pio Pio 6
Marian  [Upgrade to see in full],Excelle [Upgrade to see in full],11/9/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Auria C [Upgrade to see in full],I order [Upgrade to see in full],5/14/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Pio Pio 6
Donnie  [Upgrade to see in full],As a lo [Upgrade to see in full],4/7/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Pio Pio 6
Jenny N [Upgrade to see in full],Not for [Upgrade to see in full],10/16/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Pio Pio 6
Ashley  [Upgrade to see in full],I'll ma [Upgrade to see in full],4/2/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Sydney  [Upgrade to see in full],It's no [Upgrade to see in full],4/16/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Pio Pio 6
Joel B.,The foo [Upgrade to see in full],9/2/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Pio Pio 6
Chantal [Upgrade to see in full],PIonPIO [Upgrade to see in full],10/20/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Pio Pio 6
Sarah Q [Upgrade to see in full],I came  [Upgrade to see in full],9/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Nadia S [Upgrade to see in full],Great P [Upgrade to see in full],8/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Christi [Upgrade to see in full],The jar [Upgrade to see in full],10/20/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Esmerli [Upgrade to see in full],Good fo [Upgrade to see in full],8/15/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Linh L.,Ive bee [Upgrade to see in full],5/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Harshin [Upgrade to see in full],Good fo [Upgrade to see in full],6/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Larry K [Upgrade to see in full],Great c [Upgrade to see in full],9/29/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Pio Pio 6
Pamela  [Upgrade to see in full],5 stars [Upgrade to see in full],4/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Catheri [Upgrade to see in full],Mannnnn [Upgrade to see in full],10/9/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Victori [Upgrade to see in full],I enjoy [Upgrade to see in full],11/17/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Ingrid  [Upgrade to see in full],Amazing [Upgrade to see in full],6/13/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Alexa M [Upgrade to see in full],I have  [Upgrade to see in full],9/7/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Pio Pio 6
Jay L.,Came to [Upgrade to see in full],4/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
George  [Upgrade to see in full],We have [Upgrade to see in full],11/3/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Pio Pio 6
Sid B.,Wow!! S [Upgrade to see in full],6/20/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Pio Pio 6
Catheri [Upgrade to see in full],I had t [Upgrade to see in full],1/30/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Dove C.,I've be [Upgrade to see in full],2/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Adienes [Upgrade to see in full],I love  [Upgrade to see in full],8/13/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Jacky R [Upgrade to see in full],One of  [Upgrade to see in full],8/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Willy X [Upgrade to see in full],Pio pio [Upgrade to see in full],11/30/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Pio Pio 6
Ellen F [Upgrade to see in full],We have [Upgrade to see in full],10/19/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Pio Pio 6
Antonio [Upgrade to see in full],Wow thi [Upgrade to see in full],3/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Miss M.,This is [Upgrade to see in full],8/3/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Pio Pio 6
Angelin [Upgrade to see in full],Usually [Upgrade to see in full],12/5/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Josh R.,We've b [Upgrade to see in full],7/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Manuel  [Upgrade to see in full],This gr [Upgrade to see in full],7/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Kevin C [Upgrade to see in full],This is [Upgrade to see in full],6/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Chris G [Upgrade to see in full],Always  [Upgrade to see in full],5/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Daniela [Upgrade to see in full],This re [Upgrade to see in full],11/7/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Pio Pio 6
Mehdi M [Upgrade to see in full],The kid [Upgrade to see in full],6/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Eva M.,"So, my  [Upgrade to see in full]",4/14/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Pio Pio 6
Tyler L [Upgrade to see in full],Pio Pio [Upgrade to see in full],6/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Pio Pio 6
Lisnel  [Upgrade to see in full],I reall [Upgrade to see in full],10/14/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Pio Pio 6
Greg R.,These r [Upgrade to see in full],3/19/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Joseph  [Upgrade to see in full],Good fo [Upgrade to see in full],11/21/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Pio Pio 6
Jesus A [Upgrade to see in full],I ate h [Upgrade to see in full],6/4/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Pio Pio 6
Kelley  [Upgrade to see in full],Delicio [Upgrade to see in full],6/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
Bob K.,Matador [Upgrade to see in full],4/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Pio Pio 6
