Name,Review,Date,Star Rating
Yeria L [Upgrade to see in full],This is [Upgrade to see in full],7/14/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tanya H [Upgrade to see in full],I agree [Upgrade to see in full],10/23/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Sergey  [Upgrade to see in full],Service [Upgrade to see in full],9/12/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Anna L.,I love  [Upgrade to see in full],9/6/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Rachell [Upgrade to see in full],I live  [Upgrade to see in full],12/4/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ray Y.,Great p [Upgrade to see in full],11/3/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Mihael  [Upgrade to see in full],I came  [Upgrade to see in full],5/14/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Wailana [Upgrade to see in full],Great C [Upgrade to see in full],9/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ashley  [Upgrade to see in full],This is [Upgrade to see in full],10/31/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Joy G.,It's to [Upgrade to see in full],8/7/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Niki C.,Okay th [Upgrade to see in full],10/19/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Andrea  [Upgrade to see in full],I love  [Upgrade to see in full],11/21/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
M M.,I get a [Upgrade to see in full],6/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Julie B [Upgrade to see in full],Awesome [Upgrade to see in full],4/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jolene  [Upgrade to see in full],I order [Upgrade to see in full],5/10/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jessie  [Upgrade to see in full],Decent  [Upgrade to see in full],3/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Wendy H [Upgrade to see in full],A solid [Upgrade to see in full],7/9/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Rachel  [Upgrade to see in full],I order [Upgrade to see in full],1/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Shanice [Upgrade to see in full],This pl [Upgrade to see in full],10/5/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Judy M.,Everyth [Upgrade to see in full],6/21/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Monica  [Upgrade to see in full],I'm lit [Upgrade to see in full],6/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Stefany [Upgrade to see in full],Blame M [Upgrade to see in full],4/19/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Alex B.,Great V [Upgrade to see in full],7/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alex F.,Love th [Upgrade to see in full],9/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Darya S [Upgrade to see in full],Takeout [Upgrade to see in full],3/27/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Kenny L [Upgrade to see in full],Order t [Upgrade to see in full],10/4/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kayla B [Upgrade to see in full],This is [Upgrade to see in full],7/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Stan S.,Hot  da [Upgrade to see in full],5/6/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Harshin [Upgrade to see in full],Really  [Upgrade to see in full],10/7/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kristin [Upgrade to see in full],First t [Upgrade to see in full],2/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Monica  [Upgrade to see in full],As soon [Upgrade to see in full],2/19/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Samanyh [Upgrade to see in full],Love hi [Upgrade to see in full],9/29/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Michell [Upgrade to see in full],A. Game [Upgrade to see in full],3/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sarah B [Upgrade to see in full],Best Ba [Upgrade to see in full],2/5/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Melanie [Upgrade to see in full],SPICY C [Upgrade to see in full],6/27/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Hannah  [Upgrade to see in full],Humongo [Upgrade to see in full],8/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
E K.,While t [Upgrade to see in full],8/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jing K.,Solid V [Upgrade to see in full],1/25/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Ryan A.,I've ye [Upgrade to see in full],8/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Matthew [Upgrade to see in full],The lem [Upgrade to see in full],1/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
May T.,This pl [Upgrade to see in full],7/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Hoai V.,I've be [Upgrade to see in full],11/25/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sara An [Upgrade to see in full],The dum [Upgrade to see in full],8/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jay S.,Living  [Upgrade to see in full],10/14/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Giacomo [Upgrade to see in full],Just ha [Upgrade to see in full],5/4/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Isabell [Upgrade to see in full],Banh mi [Upgrade to see in full],8/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Peter C [Upgrade to see in full],Great p [Upgrade to see in full],7/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Nik B.,I've be [Upgrade to see in full],3/21/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Natalia [Upgrade to see in full],One of  [Upgrade to see in full],1/30/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Johnny  [Upgrade to see in full],Today w [Upgrade to see in full],5/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Carolyn [Upgrade to see in full],Really  [Upgrade to see in full],10/16/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Achiaa  [Upgrade to see in full],The siz [Upgrade to see in full],5/10/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
makin m [Upgrade to see in full],The ban [Upgrade to see in full],8/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Nicky Z [Upgrade to see in full],I love  [Upgrade to see in full],1/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Samanth [Upgrade to see in full],"Oh, Sai [Upgrade to see in full]",10/2/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Hiba A.,Great t [Upgrade to see in full],11/12/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Janice  [Upgrade to see in full],Wow. So [Upgrade to see in full],12/21/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Em M.,Go-to f [Upgrade to see in full],5/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Aubrey  [Upgrade to see in full],tried t [Upgrade to see in full],11/26/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Melisa  [Upgrade to see in full],Found m [Upgrade to see in full],1/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Naina Z [Upgrade to see in full],I went  [Upgrade to see in full],11/7/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Varand  [Upgrade to see in full],It is s [Upgrade to see in full],10/8/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Carissa [Upgrade to see in full],HUGE ba [Upgrade to see in full],8/8/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Hannah  [Upgrade to see in full],Saiguet [Upgrade to see in full],4/12/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
O K.,Another [Upgrade to see in full],6/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ricardo [Upgrade to see in full],Thick c [Upgrade to see in full],9/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Matthew [Upgrade to see in full],The por [Upgrade to see in full],5/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Yong K.,This pl [Upgrade to see in full],1/23/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Vanessa [Upgrade to see in full],Tried t [Upgrade to see in full],3/24/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Opal T.,I love  [Upgrade to see in full],2/5/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Donny H [Upgrade to see in full],So glad [Upgrade to see in full],6/13/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Joy W.,Saiguet [Upgrade to see in full],2/8/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Tania D [Upgrade to see in full],The bes [Upgrade to see in full],5/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tammie  [Upgrade to see in full],How did [Upgrade to see in full],1/31/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Matt H.,White t [Upgrade to see in full],9/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
K G.,My comp [Upgrade to see in full],2/15/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Autumn  [Upgrade to see in full],This pl [Upgrade to see in full],6/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rafael  [Upgrade to see in full],I'll be [Upgrade to see in full],8/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Naomi S [Upgrade to see in full],Delicio [Upgrade to see in full],8/13/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Linh H.,One of  [Upgrade to see in full],2/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sarah L [Upgrade to see in full],This pl [Upgrade to see in full],9/3/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kathy M [Upgrade to see in full],I'm so  [Upgrade to see in full],1/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Grace L [Upgrade to see in full],A lovel [Upgrade to see in full],2/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kayla S [Upgrade to see in full],I was r [Upgrade to see in full],9/17/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Quisha  [Upgrade to see in full],Bahn mi [Upgrade to see in full],2/21/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Arjun S [Upgrade to see in full],Two mon [Upgrade to see in full],10/29/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Andrew  [Upgrade to see in full],I used  [Upgrade to see in full],3/12/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Susan H [Upgrade to see in full],Can't r [Upgrade to see in full],4/27/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Mardory [Upgrade to see in full],I am no [Upgrade to see in full],9/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Michell [Upgrade to see in full],OMG whe [Upgrade to see in full],10/5/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Connie  [Upgrade to see in full],I got a [Upgrade to see in full],3/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jack Q.,The foo [Upgrade to see in full],5/27/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Maya R.,Saiguet [Upgrade to see in full],3/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Michael [Upgrade to see in full],Great n [Upgrade to see in full],1/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Sadia H [Upgrade to see in full],This is [Upgrade to see in full],10/13/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
G M.,I had t [Upgrade to see in full],1/15/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Marijke [Upgrade to see in full],The men [Upgrade to see in full],1/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Anne L.,This pl [Upgrade to see in full],1/19/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
John F.,I've be [Upgrade to see in full],7/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Cynthia [Upgrade to see in full],I tried [Upgrade to see in full],11/28/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Changmi [Upgrade to see in full],Great P [Upgrade to see in full],1/27/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jane M.,I love  [Upgrade to see in full],1/27/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Elizabe [Upgrade to see in full],This pl [Upgrade to see in full],4/3/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Dani A.,Been ne [Upgrade to see in full],2/21/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jessica [Upgrade to see in full],Not sur [Upgrade to see in full],1/14/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Clara G [Upgrade to see in full],I have  [Upgrade to see in full],7/15/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Moee D.,I order [Upgrade to see in full],9/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Shakira [Upgrade to see in full],BANH MI [Upgrade to see in full],5/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lia K.,Saiguet [Upgrade to see in full],3/23/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nikki B [Upgrade to see in full],Amazing [Upgrade to see in full],2/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Shaila  [Upgrade to see in full],A great [Upgrade to see in full],4/7/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Alexand [Upgrade to see in full],Saiguet [Upgrade to see in full],4/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Audrey  [Upgrade to see in full],Althoug [Upgrade to see in full],10/3/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jesse S [Upgrade to see in full],Stopped [Upgrade to see in full],10/1/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Maya N.,Serious [Upgrade to see in full],6/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jack N.,No real [Upgrade to see in full],10/8/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
A H.,Food is [Upgrade to see in full],7/26/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Paul-se [Upgrade to see in full],Can eat [Upgrade to see in full],11/14/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ree N.,This pl [Upgrade to see in full],9/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ngan H.,Best Vi [Upgrade to see in full],8/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Derek K [Upgrade to see in full],So I ca [Upgrade to see in full],1/31/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Hayley  [Upgrade to see in full],Honestl [Upgrade to see in full],10/11/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Greg W.,Cannot  [Upgrade to see in full],8/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Samanth [Upgrade to see in full],I stumb [Upgrade to see in full],10/9/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sofia M [Upgrade to see in full],This is [Upgrade to see in full],3/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lesley  [Upgrade to see in full],I was a [Upgrade to see in full],10/11/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Michell [Upgrade to see in full],The ver [Upgrade to see in full],4/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
A D.,I've be [Upgrade to see in full],8/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Richard [Upgrade to see in full],Best Vi [Upgrade to see in full],10/1/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Cindy T [Upgrade to see in full],Diaspor [Upgrade to see in full],8/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Steven  [Upgrade to see in full],The pho [Upgrade to see in full],9/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Angelin [Upgrade to see in full],My boyf [Upgrade to see in full],8/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Clare M [Upgrade to see in full],32A and [Upgrade to see in full],3/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
