Name,Review,Date,Star Rating,restaurant
Jonatha [Upgrade to see in full],1. They [Upgrade to see in full],10/21/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Benjami [Upgrade to see in full],Savann  [Upgrade to see in full],7/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Nita S.,This pl [Upgrade to see in full],6/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Tonya M [Upgrade to see in full],Excelle [Upgrade to see in full],11/20/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
N jose  [Upgrade to see in full],We came [Upgrade to see in full],12/1/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Kierste [Upgrade to see in full],My part [Upgrade to see in full],6/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Lauri N [Upgrade to see in full],I was e [Upgrade to see in full],10/26/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Holly S [Upgrade to see in full],My boyf [Upgrade to see in full],2/7/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Ayesha  [Upgrade to see in full],I love  [Upgrade to see in full],5/3/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Patti W [Upgrade to see in full],Babagha [Upgrade to see in full],8/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Ana G.,Was jus [Upgrade to see in full],7/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
William [Upgrade to see in full],Eating  [Upgrade to see in full],10/19/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Sydney  [Upgrade to see in full],Came he [Upgrade to see in full],6/6/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Reviewe [Upgrade to see in full],Cute in [Upgrade to see in full],6/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Christi [Upgrade to see in full],I was s [Upgrade to see in full],9/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Debra M [Upgrade to see in full],I was e [Upgrade to see in full],5/13/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Mark P.,Turkish [Upgrade to see in full],3/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Kelly B [Upgrade to see in full],My frie [Upgrade to see in full],10/28/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
BK 1.,In town [Upgrade to see in full],10/19/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Jim O.,Excelle [Upgrade to see in full],6/24/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Oleg S.,If you  [Upgrade to see in full],8/2/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Jenn A.,The foo [Upgrade to see in full],7/26/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Lidia V [Upgrade to see in full],We trie [Upgrade to see in full],11/26/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Tiffani [Upgrade to see in full],Nothing [Upgrade to see in full],9/29/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Terrenc [Upgrade to see in full],The par [Upgrade to see in full],11/17/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
B H.,The foo [Upgrade to see in full],8/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Dendar  [Upgrade to see in full],This pl [Upgrade to see in full],6/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Jackie  [Upgrade to see in full],This up [Upgrade to see in full],7/22/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Amina K [Upgrade to see in full],Alright [Upgrade to see in full],10/15/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Lillian [Upgrade to see in full],Come he [Upgrade to see in full],4/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Monet B [Upgrade to see in full],Excelle [Upgrade to see in full],10/22/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Taysha  [Upgrade to see in full],The foo [Upgrade to see in full],11/4/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Ivy C.,Tasty M [Upgrade to see in full],4/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
Rajiq I [Upgrade to see in full],Came he [Upgrade to see in full],8/15/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],Savann Mediterranean  Cuisine Restaurant
