Name,Review,Date,Star Rating,restaurant
Keith C [Upgrade to see in full],Best Gl [Upgrade to see in full],11/29/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Laksen  [Upgrade to see in full],Love th [Upgrade to see in full],11/29/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
S M.,Great a [Upgrade to see in full],10/29/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Simón L [Upgrade to see in full],Nice pi [Upgrade to see in full],9/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Abby B.,Sottoca [Upgrade to see in full],9/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
S S.,Okay me [Upgrade to see in full],12/4/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Jon D.,Tasted  [Upgrade to see in full],11/12/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Giacomo [Upgrade to see in full],Spin-of [Upgrade to see in full],6/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Brittan [Upgrade to see in full],Was at  [Upgrade to see in full],11/6/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Kwame S [Upgrade to see in full],A fine  [Upgrade to see in full],8/17/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
William [Upgrade to see in full],A true  [Upgrade to see in full],7/5/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Veronic [Upgrade to see in full],What a  [Upgrade to see in full],8/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Nea T.,I got a [Upgrade to see in full],10/24/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Esteban [Upgrade to see in full],Great s [Upgrade to see in full],10/27/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Cheryl  [Upgrade to see in full],"A warm, [Upgrade to see in full]",8/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Amber K [Upgrade to see in full],I've li [Upgrade to see in full],8/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Townsen [Upgrade to see in full],Piling  [Upgrade to see in full],10/25/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Chrissy [Upgrade to see in full],Came he [Upgrade to see in full],2/2/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Grace H [Upgrade to see in full],Such a  [Upgrade to see in full],8/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
Thomas  [Upgrade to see in full],WOW! On [Upgrade to see in full],7/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sottocasa Pizzeria - Harlem
