Name,Review,Date,Star Rating,restaurant
Wenye X [Upgrade to see in full],It's my [Upgrade to see in full],9/21/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Delphi  [Upgrade to see in full],Really? [Upgrade to see in full],7/28/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Haoyuan [Upgrade to see in full],Don't e [Upgrade to see in full],6/22/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Scott L [Upgrade to see in full],In New  [Upgrade to see in full],10/14/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Sophia  [Upgrade to see in full],The bes [Upgrade to see in full],9/8/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Kevin W [Upgrade to see in full],Definit [Upgrade to see in full],10/28/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Aron N.,After r [Upgrade to see in full],8/8/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Serena  [Upgrade to see in full],My FAVO [Upgrade to see in full],12/3/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Derek L [Upgrade to see in full],Been he [Upgrade to see in full],4/21/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Angela  [Upgrade to see in full],Came he [Upgrade to see in full],12/20/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Karl P.,Neighbo [Upgrade to see in full],7/19/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Bowen L [Upgrade to see in full],4.5 sta [Upgrade to see in full],11/18/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Yun Z.,Great p [Upgrade to see in full],5/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Cassand [Upgrade to see in full],The Asi [Upgrade to see in full],8/8/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Serena  [Upgrade to see in full],This re [Upgrade to see in full],11/14/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Goretex [Upgrade to see in full],great h [Upgrade to see in full],7/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Varand  [Upgrade to see in full],Value i [Upgrade to see in full],11/25/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Victori [Upgrade to see in full],Moderat [Upgrade to see in full],11/15/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
Elaine  [Upgrade to see in full],People  [Upgrade to see in full],4/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],Sun-Chan Japanese Restaurant
