Name,Review,Date,Star Rating
Monica  [Upgrade to see in full],A small [Upgrade to see in full],12/5/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nichola [Upgrade to see in full],The bes [Upgrade to see in full],12/19/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Martina [Upgrade to see in full],Wow! I  [Upgrade to see in full],5/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sammy J [Upgrade to see in full],A beaut [Upgrade to see in full],3/1/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Maureen [Upgrade to see in full],Had a l [Upgrade to see in full],8/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Nathan  [Upgrade to see in full],The foo [Upgrade to see in full],4/30/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Torie W [Upgrade to see in full],Checked [Upgrade to see in full],5/31/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Aubrey  [Upgrade to see in full],I have  [Upgrade to see in full],12/16/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Laura H [Upgrade to see in full],Wonderf [Upgrade to see in full],5/3/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Mary S.,We went [Upgrade to see in full],5/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jeremy  [Upgrade to see in full],We were [Upgrade to see in full],1/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Alexand [Upgrade to see in full],Tartina [Upgrade to see in full],5/13/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Francis [Upgrade to see in full],I was l [Upgrade to see in full],7/8/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Julia M [Upgrade to see in full],Amazing [Upgrade to see in full],3/19/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Pola S.,This is [Upgrade to see in full],8/27/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Victori [Upgrade to see in full],"Quiet,  [Upgrade to see in full]",8/9/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Akansha [Upgrade to see in full],I just  [Upgrade to see in full],10/10/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Steve C [Upgrade to see in full],Just ha [Upgrade to see in full],3/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Arnold  [Upgrade to see in full],We walk [Upgrade to see in full],4/6/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Michell [Upgrade to see in full],This ha [Upgrade to see in full],12/14/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
David H [Upgrade to see in full],This wa [Upgrade to see in full],3/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Steven  [Upgrade to see in full],Great n [Upgrade to see in full],2/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Irina G [Upgrade to see in full],A manha [Upgrade to see in full],7/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Sasha C [Upgrade to see in full],Such a  [Upgrade to see in full],7/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kyle D.,Stopped [Upgrade to see in full],12/5/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Danny O [Upgrade to see in full],This is [Upgrade to see in full],6/22/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Dew P.,We came [Upgrade to see in full],1/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Yuan M.,This is [Upgrade to see in full],5/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Silvia  [Upgrade to see in full],Excelle [Upgrade to see in full],5/15/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Mel T.,*This r [Upgrade to see in full],4/27/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Cedrick [Upgrade to see in full],This is [Upgrade to see in full],5/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Carmela [Upgrade to see in full],Tartina [Upgrade to see in full],5/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Wesley  [Upgrade to see in full],Tartina [Upgrade to see in full],4/20/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Joseph  [Upgrade to see in full],Calm an [Upgrade to see in full],12/17/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Susan P [Upgrade to see in full],We love [Upgrade to see in full],4/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Laura C [Upgrade to see in full],Came he [Upgrade to see in full],12/16/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ruy Leo [Upgrade to see in full],Nice re [Upgrade to see in full],3/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
May K.,We had  [Upgrade to see in full],9/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Julia A [Upgrade to see in full],Horribl [Upgrade to see in full],7/22/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Olena P [Upgrade to see in full],Came he [Upgrade to see in full],9/14/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Young Y [Upgrade to see in full],My new  [Upgrade to see in full],6/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Miranda [Upgrade to see in full],From th [Upgrade to see in full],5/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alex L.,The fir [Upgrade to see in full],6/1/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Elsie W [Upgrade to see in full],I was s [Upgrade to see in full],7/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kannith [Upgrade to see in full],I went  [Upgrade to see in full],6/6/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Billy G [Upgrade to see in full],Let me  [Upgrade to see in full],12/20/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Christi [Upgrade to see in full],I went  [Upgrade to see in full],1/19/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Catheri [Upgrade to see in full],Went fo [Upgrade to see in full],5/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kevin S [Upgrade to see in full],Tartina [Upgrade to see in full],4/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Susan K [Upgrade to see in full],I've ea [Upgrade to see in full],5/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Monica  [Upgrade to see in full],We came [Upgrade to see in full],3/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nick C.,Friends [Upgrade to see in full],5/17/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ashley  [Upgrade to see in full],One of  [Upgrade to see in full],10/31/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Xia L.,My sist [Upgrade to see in full],1/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Barbara [Upgrade to see in full],We were [Upgrade to see in full],12/19/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Stephan [Upgrade to see in full],This pl [Upgrade to see in full],8/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Christi [Upgrade to see in full],A group [Upgrade to see in full],3/19/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Andrew  [Upgrade to see in full],I have  [Upgrade to see in full],10/11/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Elliot  [Upgrade to see in full],Given t [Upgrade to see in full],3/23/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Debi M.,We wand [Upgrade to see in full],6/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ian H.,Tartina [Upgrade to see in full],4/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ken T.,Went on [Upgrade to see in full],3/15/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ari A.,Many pl [Upgrade to see in full],2/14/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Valerie [Upgrade to see in full],Went wi [Upgrade to see in full],12/13/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Cat S.,This is [Upgrade to see in full],7/12/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
A K.,ProsAmb [Upgrade to see in full],1/15/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Connie  [Upgrade to see in full],On a Fr [Upgrade to see in full],1/23/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
David W [Upgrade to see in full],Excelle [Upgrade to see in full],2/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Zhuo J.,Brunch  [Upgrade to see in full],1/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Marina  [Upgrade to see in full],Had an  [Upgrade to see in full],8/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Dack J.,The foo [Upgrade to see in full],7/14/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Atul S.,It was  [Upgrade to see in full],8/22/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Mikey W [Upgrade to see in full],To be c [Upgrade to see in full],4/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Madison [Upgrade to see in full],I have  [Upgrade to see in full],6/7/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
kevin a [Upgrade to see in full],Some of [Upgrade to see in full],11/18/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jodi B.,Yes ind [Upgrade to see in full],9/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Cristin [Upgrade to see in full],On Frid [Upgrade to see in full],8/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Mei D.,The foo [Upgrade to see in full],10/15/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Suzanne [Upgrade to see in full],Wow! Wo [Upgrade to see in full],11/19/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Marcus  [Upgrade to see in full],After a [Upgrade to see in full],5/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jim P.,This pl [Upgrade to see in full],5/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tom K.,There a [Upgrade to see in full],3/31/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Linda L [Upgrade to see in full],Second  [Upgrade to see in full],5/2/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
J L.,I've be [Upgrade to see in full],5/14/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Lesli M [Upgrade to see in full],First o [Upgrade to see in full],12/9/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Leslie  [Upgrade to see in full],Casual  [Upgrade to see in full],12/22/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Paolo D [Upgrade to see in full],Great I [Upgrade to see in full],4/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
