Name,Review,Date,Star Rating,restaurant
Joseph  [Upgrade to see in full],Invited [Upgrade to see in full],8/19/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],The Heights Bar & Grill
Raquel  [Upgrade to see in full],Not to  [Upgrade to see in full],8/12/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full],The Heights Bar & Grill
Rachel  [Upgrade to see in full],Located [Upgrade to see in full],7/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],The Heights Bar & Grill
Yasmin  [Upgrade to see in full],The roo [Upgrade to see in full],12/1/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full],The Heights Bar & Grill
Akilah  [Upgrade to see in full],It's pr [Upgrade to see in full],11/26/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full],The Heights Bar & Grill
Noah S.,One of  [Upgrade to see in full],6/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full],The Heights Bar & Grill
Yesseni [Upgrade to see in full],Love th [Upgrade to see in full],10/11/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],The Heights Bar & Grill
Matthew [Upgrade to see in full],I stopp [Upgrade to see in full],7/3/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],The Heights Bar & Grill
S T.,Chelsea [Upgrade to see in full],11/20/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full],The Heights Bar & Grill
Xenia M [Upgrade to see in full],So I'm  [Upgrade to see in full],5/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],The Heights Bar & Grill
Lee V.,Awesome [Upgrade to see in full],11/7/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],The Heights Bar & Grill
Ja'Ashl [Upgrade to see in full],Great s [Upgrade to see in full],9/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],The Heights Bar & Grill
Abby B.,Great b [Upgrade to see in full],3/7/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full],The Heights Bar & Grill
Abigail [Upgrade to see in full],Great h [Upgrade to see in full],2/2/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],The Heights Bar & Grill
Raymond [Upgrade to see in full],Came he [Upgrade to see in full],4/14/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],The Heights Bar & Grill
Renee M [Upgrade to see in full],Food wa [Upgrade to see in full],9/9/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full],The Heights Bar & Grill
Kwame S [Upgrade to see in full],Great s [Upgrade to see in full],6/3/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full],The Heights Bar & Grill
Wendy H [Upgrade to see in full],The ser [Upgrade to see in full],10/23/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full],The Heights Bar & Grill
Rick G.,This re [Upgrade to see in full],6/30/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full],The Heights Bar & Grill
