Name,Review,Date,Star Rating
Maya V.,This is [Upgrade to see in full],10/26/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Monica  [Upgrade to see in full],They're [Upgrade to see in full],9/30/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Yumiko  [Upgrade to see in full],My favo [Upgrade to see in full],8/27/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Lisa H.,Good se [Upgrade to see in full],5/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Victori [Upgrade to see in full],The bru [Upgrade to see in full],8/10/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Lynn L.,Met a f [Upgrade to see in full],8/29/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Khaled  [Upgrade to see in full],We went [Upgrade to see in full],5/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ami Y.,Breakfa [Upgrade to see in full],7/31/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Emily Q [Upgrade to see in full],The ins [Upgrade to see in full],8/2/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Madalen [Upgrade to see in full],I came  [Upgrade to see in full],7/25/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Kimberl [Upgrade to see in full],Great a [Upgrade to see in full],9/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Wendy H [Upgrade to see in full],Great f [Upgrade to see in full],1/13/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Walter  [Upgrade to see in full],Nice pl [Upgrade to see in full],11/26/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ashlynn [Upgrade to see in full],Best wa [Upgrade to see in full],10/20/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Andrew  [Upgrade to see in full],I'm not [Upgrade to see in full],5/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alyssa  [Upgrade to see in full],I've be [Upgrade to see in full],8/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Russ L.,Great q [Upgrade to see in full],12/16/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jon W.,Brunch  [Upgrade to see in full],9/19/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Terri O [Upgrade to see in full],Conveni [Upgrade to see in full],6/11/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Hugo Z.,A nice  [Upgrade to see in full],11/16/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Wenye X [Upgrade to see in full],The por [Upgrade to see in full],5/12/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Sharon  [Upgrade to see in full],My daug [Upgrade to see in full],4/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
P G.,This re [Upgrade to see in full],6/23/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Kelly A [Upgrade to see in full],NYC is  [Upgrade to see in full],4/24/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Melissa [Upgrade to see in full],Came he [Upgrade to see in full],8/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Martin  [Upgrade to see in full],Good pl [Upgrade to see in full],11/29/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Colette [Upgrade to see in full],"Love, l [Upgrade to see in full]",6/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Virgen  [Upgrade to see in full],Came he [Upgrade to see in full],11/26/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Renee R [Upgrade to see in full],Came in [Upgrade to see in full],2/6/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Claudia [Upgrade to see in full],Expect  [Upgrade to see in full],1/17/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Leah B.,I've be [Upgrade to see in full],5/24/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Matt L.,Best Qu [Upgrade to see in full],9/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jasmine [Upgrade to see in full],The blu [Upgrade to see in full],7/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sharon  [Upgrade to see in full],I have  [Upgrade to see in full],1/6/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ally K.,40 minu [Upgrade to see in full],1/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nina S.,I love  [Upgrade to see in full],1/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Evan H.,It's be [Upgrade to see in full],5/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Bowen L [Upgrade to see in full],Refresh [Upgrade to see in full],11/18/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Sue L.,Went on [Upgrade to see in full],11/30/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Joshua  [Upgrade to see in full],I've be [Upgrade to see in full],5/26/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Jocelyn [Upgrade to see in full],There's [Upgrade to see in full],9/6/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Cyrus P [Upgrade to see in full],We wait [Upgrade to see in full],9/8/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Hege M.,A neigh [Upgrade to see in full],4/1/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Judith  [Upgrade to see in full],I now k [Upgrade to see in full],7/15/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ashley  [Upgrade to see in full],My favo [Upgrade to see in full],1/14/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
