Name,Review,Date,Star Rating
Melissa [Upgrade to see in full],5 Yelp  [Upgrade to see in full],10/2/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Julie B [Upgrade to see in full],A good  [Upgrade to see in full],10/28/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Hannah  [Upgrade to see in full],Came he [Upgrade to see in full],9/14/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Brenda  [Upgrade to see in full],This is [Upgrade to see in full],8/29/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Tommie  [Upgrade to see in full],Food is [Upgrade to see in full],9/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Shaji K [Upgrade to see in full],Came he [Upgrade to see in full],2/28/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Brittni [Upgrade to see in full],The cra [Upgrade to see in full],5/5/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Ayesha  [Upgrade to see in full],I never [Upgrade to see in full],10/8/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Rachel  [Upgrade to see in full],4 star  [Upgrade to see in full],1/14/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nan W.,We real [Upgrade to see in full],4/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Shianti [Upgrade to see in full],Came he [Upgrade to see in full],5/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lisbeth [Upgrade to see in full],Excelle [Upgrade to see in full],8/31/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tiffany [Upgrade to see in full],One of  [Upgrade to see in full],8/31/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Cooper  [Upgrade to see in full],This pl [Upgrade to see in full],11/13/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Felix G [Upgrade to see in full],I took  [Upgrade to see in full],7/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Mariah  [Upgrade to see in full],Stopped [Upgrade to see in full],7/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Devonta [Upgrade to see in full],Perfect [Upgrade to see in full],6/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Angel S [Upgrade to see in full],Came he [Upgrade to see in full],5/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Zulay A [Upgrade to see in full],I love  [Upgrade to see in full],4/9/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
d a.,Just ok [Upgrade to see in full],8/12/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Keiva M [Upgrade to see in full],Drink d [Upgrade to see in full],8/4/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nicole  [Upgrade to see in full],I showe [Upgrade to see in full],8/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rodelix [Upgrade to see in full],LOVE TH [Upgrade to see in full],6/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Breanna [Upgrade to see in full],This is [Upgrade to see in full],8/3/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Angelic [Upgrade to see in full],If you' [Upgrade to see in full],8/10/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jennife [Upgrade to see in full],I reall [Upgrade to see in full],9/24/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Anthony [Upgrade to see in full],I went  [Upgrade to see in full],7/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Lisa L.,Great a [Upgrade to see in full],10/8/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Robyn W [Upgrade to see in full],Delicio [Upgrade to see in full],7/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Diane B [Upgrade to see in full],Great a [Upgrade to see in full],7/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
HJ D.,Yumm! E [Upgrade to see in full],6/3/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Khushbo [Upgrade to see in full],Ambienc [Upgrade to see in full],5/7/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Leesand [Upgrade to see in full],Went fo [Upgrade to see in full],8/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Catheri [Upgrade to see in full],Excelle [Upgrade to see in full],10/12/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sharlen [Upgrade to see in full],I've wa [Upgrade to see in full],7/3/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Jana K.,Absolut [Upgrade to see in full],3/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ishween [Upgrade to see in full],Fantast [Upgrade to see in full],4/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Malik A [Upgrade to see in full],Relativ [Upgrade to see in full],2/6/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
