Name,Review,Date,Star Rating
Eric A.,Great f [Upgrade to see in full],10/24/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Hannah  [Upgrade to see in full],Even th [Upgrade to see in full],12/4/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Joanna  [Upgrade to see in full],Came he [Upgrade to see in full],11/22/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Christo [Upgrade to see in full],Walking [Upgrade to see in full],11/4/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Doreen  [Upgrade to see in full],I came  [Upgrade to see in full],10/13/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Shaji K [Upgrade to see in full],At firs [Upgrade to see in full],9/4/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Sunny C [Upgrade to see in full],Okay! T [Upgrade to see in full],8/12/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jolene  [Upgrade to see in full],Highly  [Upgrade to see in full],9/19/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lana L.,I was i [Upgrade to see in full],6/6/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Bernice [Upgrade to see in full],I enjoy [Upgrade to see in full],5/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kenya W [Upgrade to see in full],Loved L [Upgrade to see in full],4/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Scott L [Upgrade to see in full],The sub [Upgrade to see in full],3/9/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kristia [Upgrade to see in full],So Yelp [Upgrade to see in full],1/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Lynda G [Upgrade to see in full],Our ori [Upgrade to see in full],9/3/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Pamela  [Upgrade to see in full],Yes! Ve [Upgrade to see in full],7/9/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lu L.,Casual  [Upgrade to see in full],7/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Christi [Upgrade to see in full],Two wor [Upgrade to see in full],6/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Olivia  [Upgrade to see in full],Such a  [Upgrade to see in full],11/28/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Richard [Upgrade to see in full],From it [Upgrade to see in full],9/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
JV H.,I order [Upgrade to see in full],12/2/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
A A.,I order [Upgrade to see in full],9/22/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Rolanda [Upgrade to see in full],I reall [Upgrade to see in full],6/14/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alegria [Upgrade to see in full],I was c [Upgrade to see in full],6/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Stan H.,Great f [Upgrade to see in full],6/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Marsha  [Upgrade to see in full],Was goo [Upgrade to see in full],4/24/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Trisha  [Upgrade to see in full],Food wa [Upgrade to see in full],7/14/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Erica H [Upgrade to see in full],This is [Upgrade to see in full],9/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jay V.,I thoro [Upgrade to see in full],8/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Erica W [Upgrade to see in full],So cris [Upgrade to see in full],4/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Wilson  [Upgrade to see in full],So I am [Upgrade to see in full],8/14/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Gissell [Upgrade to see in full],Alright [Upgrade to see in full],10/11/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Kevin K [Upgrade to see in full],"""Hmm, t [Upgrade to see in full]",2/3/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Melissa [Upgrade to see in full],Amazing [Upgrade to see in full],8/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jennie  [Upgrade to see in full],Super c [Upgrade to see in full],7/23/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Chayann [Upgrade to see in full],Visited [Upgrade to see in full],4/10/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Esperan [Upgrade to see in full],We just [Upgrade to see in full],10/23/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alexand [Upgrade to see in full],Jerk ri [Upgrade to see in full],10/23/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Kareem  [Upgrade to see in full],Wonderf [Upgrade to see in full],6/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Farhan  [Upgrade to see in full],The pla [Upgrade to see in full],10/27/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Merissa [Upgrade to see in full],Can't b [Upgrade to see in full],8/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Colette [Upgrade to see in full],This wa [Upgrade to see in full],6/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alyssa  [Upgrade to see in full],Ehhhh o [Upgrade to see in full],10/16/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jessica [Upgrade to see in full],great f [Upgrade to see in full],6/19/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Paullee [Upgrade to see in full],Favorit [Upgrade to see in full],9/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Noah I.,Cute Co [Upgrade to see in full],12/7/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Hannah  [Upgrade to see in full],What a  [Upgrade to see in full],7/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
James L [Upgrade to see in full],Great p [Upgrade to see in full],7/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jessica [Upgrade to see in full],So here [Upgrade to see in full],6/21/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Whitney [Upgrade to see in full],Do not  [Upgrade to see in full],10/7/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
