Name,Review,Date,Star Rating
Myles C [Upgrade to see in full],stellar [Upgrade to see in full],6/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Dare M.,First t [Upgrade to see in full],5/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Katheri [Upgrade to see in full],Massawa [Upgrade to see in full],3/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ken W.,I went  [Upgrade to see in full],1/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Peter H [Upgrade to see in full],If you' [Upgrade to see in full],10/9/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Preston [Upgrade to see in full],SO GOOD [Upgrade to see in full],8/27/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Nic P.,Tucked  [Upgrade to see in full],12/5/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Elizabe [Upgrade to see in full],I loved [Upgrade to see in full],12/5/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Nicole  [Upgrade to see in full],Massawa [Upgrade to see in full],12/11/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Foodie  [Upgrade to see in full],Absolut [Upgrade to see in full],10/7/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lia K.,Best Et [Upgrade to see in full],3/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Violetw [Upgrade to see in full],Great p [Upgrade to see in full],4/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Joyce L [Upgrade to see in full],Consist [Upgrade to see in full],1/24/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jori Ro [Upgrade to see in full],The one [Upgrade to see in full],10/11/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Courtne [Upgrade to see in full],Easily  [Upgrade to see in full],3/20/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
freedom [Upgrade to see in full],This is [Upgrade to see in full],4/27/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kira W.,I had n [Upgrade to see in full],4/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Monique [Upgrade to see in full],Excelle [Upgrade to see in full],9/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Maurici [Upgrade to see in full],The pla [Upgrade to see in full],4/23/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Edith A [Upgrade to see in full],First t [Upgrade to see in full],9/23/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Michele [Upgrade to see in full],I order [Upgrade to see in full],7/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Emily C [Upgrade to see in full],The foo [Upgrade to see in full],2/2/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Sophia  [Upgrade to see in full],I'm a h [Upgrade to see in full],11/18/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Casey M [Upgrade to see in full],I have  [Upgrade to see in full],11/27/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Scott D [Upgrade to see in full],Food is [Upgrade to see in full],3/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Nick B.,This is [Upgrade to see in full],2/4/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Radha B [Upgrade to see in full],I came  [Upgrade to see in full],7/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lorenzo [Upgrade to see in full],My favo [Upgrade to see in full],10/25/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Siyun Z [Upgrade to see in full],This mi [Upgrade to see in full],10/24/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Haiku U [Upgrade to see in full],pumpkin [Upgrade to see in full],10/28/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Betsy R [Upgrade to see in full],I love  [Upgrade to see in full],9/20/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Yaira K [Upgrade to see in full],A bit e [Upgrade to see in full],10/22/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Skyler  [Upgrade to see in full],Excelle [Upgrade to see in full],8/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ahmed F [Upgrade to see in full],Took th [Upgrade to see in full],11/3/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kimberl [Upgrade to see in full],My cous [Upgrade to see in full],11/16/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Stuti G [Upgrade to see in full],Great s [Upgrade to see in full],3/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Meron A [Upgrade to see in full],My Favo [Upgrade to see in full],9/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jacquel [Upgrade to see in full],This pl [Upgrade to see in full],3/9/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Mehak N [Upgrade to see in full],Love th [Upgrade to see in full],6/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ann P.,My boyf [Upgrade to see in full],9/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tanya N [Upgrade to see in full],Excelle [Upgrade to see in full],12/28/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Miranda [Upgrade to see in full],I think [Upgrade to see in full],8/25/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jalaj S [Upgrade to see in full],Had lun [Upgrade to see in full],12/30/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Maria G [Upgrade to see in full],I feel  [Upgrade to see in full],2/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Isis S.,Loved t [Upgrade to see in full],8/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Troy S.,It was  [Upgrade to see in full],10/16/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Leo Y.,Good at [Upgrade to see in full],8/20/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kelsey  [Upgrade to see in full],Happy h [Upgrade to see in full],12/1/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Danica  [Upgrade to see in full],Portion [Upgrade to see in full],6/25/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Emily S [Upgrade to see in full],I've be [Upgrade to see in full],1/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Starlig [Upgrade to see in full],My boyf [Upgrade to see in full],1/20/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Rachel  [Upgrade to see in full],Had a w [Upgrade to see in full],7/1/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Thalass [Upgrade to see in full],Massawa [Upgrade to see in full],5/30/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Emilija [Upgrade to see in full],I have  [Upgrade to see in full],11/15/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Amy C.,Interes [Upgrade to see in full],5/2/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Dana P.,Food wa [Upgrade to see in full],12/12/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Priti R [Upgrade to see in full],This is [Upgrade to see in full],2/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Yaran S [Upgrade to see in full],Nice lu [Upgrade to see in full],4/20/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Stephan [Upgrade to see in full],Great f [Upgrade to see in full],5/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lesley  [Upgrade to see in full],Went he [Upgrade to see in full],12/22/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Leo L.,Like th [Upgrade to see in full],3/14/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Marty M [Upgrade to see in full],This pl [Upgrade to see in full],12/11/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Yvette  [Upgrade to see in full],My frie [Upgrade to see in full],9/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Christi [Upgrade to see in full],This pl [Upgrade to see in full],9/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Nick B.,Great f [Upgrade to see in full],2/19/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
So Yoon [Upgrade to see in full],Very ni [Upgrade to see in full],2/16/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jeff G.,My firs [Upgrade to see in full],8/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Amou A.,I reall [Upgrade to see in full],7/4/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Vanessa [Upgrade to see in full],If I co [Upgrade to see in full],9/8/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Jera Z.,The way [Upgrade to see in full],9/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Craig V [Upgrade to see in full],This pl [Upgrade to see in full],7/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Warren  [Upgrade to see in full],Massawa [Upgrade to see in full],7/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Rei Y.,Perhaps [Upgrade to see in full],12/16/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Shreyas [Upgrade to see in full],I reall [Upgrade to see in full],6/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
A. D.,One of  [Upgrade to see in full],8/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Christo [Upgrade to see in full],****  E [Upgrade to see in full],1/3/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
John D.,Genuine [Upgrade to see in full],4/9/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Michael [Upgrade to see in full],Amazing [Upgrade to see in full],1/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Mengze  [Upgrade to see in full],Friendl [Upgrade to see in full],1/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jo J.,Fantast [Upgrade to see in full],1/27/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Krupa P [Upgrade to see in full],This wa [Upgrade to see in full],10/8/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Melia P [Upgrade to see in full],I was s [Upgrade to see in full],6/17/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nancy I [Upgrade to see in full],Man lis [Upgrade to see in full],9/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Elena S [Upgrade to see in full],So deli [Upgrade to see in full],11/17/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ras U.,This is [Upgrade to see in full],8/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Peter Y [Upgrade to see in full],I love  [Upgrade to see in full],1/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Susan X [Upgrade to see in full],Alitcha [Upgrade to see in full],9/12/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Vihar D [Upgrade to see in full],Searche [Upgrade to see in full],7/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Luarnie [Upgrade to see in full],This is [Upgrade to see in full],12/4/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ali E.,This pl [Upgrade to see in full],7/5/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Samir M [Upgrade to see in full],Had the [Upgrade to see in full],8/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rikin M [Upgrade to see in full],One of  [Upgrade to see in full],9/8/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Amer A.,Good bu [Upgrade to see in full],2/14/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jaebi I [Upgrade to see in full],Went he [Upgrade to see in full],3/17/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Sarina  [Upgrade to see in full],Good bu [Upgrade to see in full],9/9/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Chris W [Upgrade to see in full],Great p [Upgrade to see in full],2/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Margo S [Upgrade to see in full],I came  [Upgrade to see in full],7/27/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Adam F.,The sta [Upgrade to see in full],10/30/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Mimi L.,Delicio [Upgrade to see in full],3/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Sydney  [Upgrade to see in full],Absolut [Upgrade to see in full],12/9/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Chlo L.,Delicio [Upgrade to see in full],2/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Pera M.,Awesome [Upgrade to see in full],5/15/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jon S.,Nice at [Upgrade to see in full],10/23/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Judith  [Upgrade to see in full],A speci [Upgrade to see in full],10/22/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Ana P.,Everyth [Upgrade to see in full],12/29/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ricky B [Upgrade to see in full],You can [Upgrade to see in full],2/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jeremy  [Upgrade to see in full],This is [Upgrade to see in full],7/12/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
