Name,Review,Date,Star Rating
Cindy M [Upgrade to see in full],Recentl [Upgrade to see in full],12/4/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Leila L [Upgrade to see in full],A very  [Upgrade to see in full],10/16/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Emily Q [Upgrade to see in full],The foo [Upgrade to see in full],8/13/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Abby S.,This me [Upgrade to see in full],2/2/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Brian O [Upgrade to see in full],I wante [Upgrade to see in full],8/31/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Kwame S [Upgrade to see in full],Good fo [Upgrade to see in full],4/3/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Judy C.,Mediocr [Upgrade to see in full],10/2/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Pamela  [Upgrade to see in full],Decent  [Upgrade to see in full],6/27/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Russ L.,The tof [Upgrade to see in full],12/12/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Kaiyan  [Upgrade to see in full],Good fo [Upgrade to see in full],3/3/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Asel M.,Amazing [Upgrade to see in full],4/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kylie W [Upgrade to see in full],Mill is [Upgrade to see in full],12/9/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Kitty C [Upgrade to see in full],Yuck. T [Upgrade to see in full],5/20/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
S M.,I have  [Upgrade to see in full],11/16/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Amy X.,Very fe [Upgrade to see in full],4/29/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Angela  [Upgrade to see in full],I mean. [Upgrade to see in full],4/23/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Lauren  [Upgrade to see in full],This is [Upgrade to see in full],11/4/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Hazal Y [Upgrade to see in full],Decent  [Upgrade to see in full],7/6/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Sam K.,I'm Kor [Upgrade to see in full],7/25/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
John Y.,This pl [Upgrade to see in full],3/23/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
K G.,Hadn't  [Upgrade to see in full],2/15/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Anvita  [Upgrade to see in full],"B10, sp [Upgrade to see in full]",2/7/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Lauren  [Upgrade to see in full],The foo [Upgrade to see in full],5/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Raphael [Upgrade to see in full],Pretty  [Upgrade to see in full],11/5/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Soyoung [Upgrade to see in full],Disgust [Upgrade to see in full],12/11/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Hyun-So [Upgrade to see in full],The koo [Upgrade to see in full],4/29/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
秀迪,Nice se [Upgrade to see in full],4/27/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Serena  [Upgrade to see in full],Great p [Upgrade to see in full],3/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Yongcha [Upgrade to see in full],Just ha [Upgrade to see in full],5/6/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
E J.,Overpri [Upgrade to see in full],11/2/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Carolyn [Upgrade to see in full],A very  [Upgrade to see in full],10/16/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Dani A.,My fian [Upgrade to see in full],10/28/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
David K [Upgrade to see in full],Ordered [Upgrade to see in full],3/25/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Yining  [Upgrade to see in full],I came  [Upgrade to see in full],3/4/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Will V.,Take a  [Upgrade to see in full],11/10/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
JunHee  [Upgrade to see in full],Just or [Upgrade to see in full],4/17/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Aileen  [Upgrade to see in full],Yum!! D [Upgrade to see in full],10/22/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
D Z.,It's no [Upgrade to see in full],3/19/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Ridhima [Upgrade to see in full],I was c [Upgrade to see in full],10/20/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Christi [Upgrade to see in full],Great f [Upgrade to see in full],3/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Can L.,The foo [Upgrade to see in full],4/29/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Miranda [Upgrade to see in full],Honestl [Upgrade to see in full],8/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jane A.,This is [Upgrade to see in full],2/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Li F.,Honestl [Upgrade to see in full],2/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kylene  [Upgrade to see in full],Food wa [Upgrade to see in full],2/21/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Ken M.,Two of  [Upgrade to see in full],5/20/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Gahee L [Upgrade to see in full],I'm sor [Upgrade to see in full],8/16/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Yue W.,Very ba [Upgrade to see in full],6/3/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Amber B [Upgrade to see in full],Excelle [Upgrade to see in full],6/19/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Nemo Z.,This pl [Upgrade to see in full],3/23/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Mark H.,Not imp [Upgrade to see in full],8/9/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Yui T.,It's ju [Upgrade to see in full],4/5/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Leah M.,This is [Upgrade to see in full],2/18/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Nicole  [Upgrade to see in full],Very ru [Upgrade to see in full],1/1/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Niousha [Upgrade to see in full],"Ugh, th [Upgrade to see in full]",3/23/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Sameera [Upgrade to see in full],I'm not [Upgrade to see in full],12/7/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Elizabe [Upgrade to see in full],My fami [Upgrade to see in full],3/25/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Janice  [Upgrade to see in full],To be h [Upgrade to see in full],9/5/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Dan S.,This pl [Upgrade to see in full],8/17/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Charles [Upgrade to see in full],I've be [Upgrade to see in full],1/7/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Linda T [Upgrade to see in full],While t [Upgrade to see in full],4/17/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Grace S [Upgrade to see in full],Im sure [Upgrade to see in full],5/29/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Lauren  [Upgrade to see in full],I love  [Upgrade to see in full],12/4/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nestor  [Upgrade to see in full],Thinkin [Upgrade to see in full],7/30/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Kurt M.,The foo [Upgrade to see in full],12/26/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Amy L.,PLASTIC [Upgrade to see in full],10/30/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Ruby S.,If you  [Upgrade to see in full],12/25/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Eric T.,Walked  [Upgrade to see in full],8/3/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Susan X [Upgrade to see in full],I would [Upgrade to see in full],12/17/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Libbi W [Upgrade to see in full],I love  [Upgrade to see in full],12/4/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Joy Y.,saved m [Upgrade to see in full],3/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jennife [Upgrade to see in full],The foo [Upgrade to see in full],10/6/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
