Name,Review,Date,Star Rating
Jack W.,This is [Upgrade to see in full],7/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Marty B [Upgrade to see in full],The dec [Upgrade to see in full],9/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kit C.,On a ra [Upgrade to see in full],7/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Carlos  [Upgrade to see in full],This wa [Upgrade to see in full],12/4/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Teresa  [Upgrade to see in full],My boyf [Upgrade to see in full],7/14/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Francis [Upgrade to see in full],What a  [Upgrade to see in full],11/17/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Lina K.,Just or [Upgrade to see in full],9/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Rosa O.,The foo [Upgrade to see in full],11/28/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Emile L [Upgrade to see in full],Many Am [Upgrade to see in full],6/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jason L [Upgrade to see in full],Hidden  [Upgrade to see in full],7/20/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Simone  [Upgrade to see in full],Worst f [Upgrade to see in full],5/13/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Cubanos [Upgrade to see in full],Fantast [Upgrade to see in full],11/28/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
MM V.,The spa [Upgrade to see in full],10/16/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Natalie [Upgrade to see in full],This Ch [Upgrade to see in full],8/3/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Victor  [Upgrade to see in full],Ate her [Upgrade to see in full],6/18/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Johnny  [Upgrade to see in full],Restaur [Upgrade to see in full],11/15/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Stuart  [Upgrade to see in full],Delicio [Upgrade to see in full],9/8/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
kayun s [Upgrade to see in full],Althoug [Upgrade to see in full],4/15/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
K K.,I have  [Upgrade to see in full],11/17/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Laura S [Upgrade to see in full],For the [Upgrade to see in full],9/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Linda P [Upgrade to see in full],This pl [Upgrade to see in full],9/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rafael  [Upgrade to see in full],Nice ad [Upgrade to see in full],6/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sue K.,We had  [Upgrade to see in full],11/2/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
