Name,Review,Date,Star Rating
Angela  [Upgrade to see in full],I am a  [Upgrade to see in full],11/4/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Lilly G [Upgrade to see in full],This is [Upgrade to see in full],8/31/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Jasmine [Upgrade to see in full],Let me  [Upgrade to see in full],8/27/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Rossy M [Upgrade to see in full],I love  [Upgrade to see in full],2/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Abby S.,Fresh s [Upgrade to see in full],4/17/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Nina K.,Yumm... [Upgrade to see in full],5/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Malcolm [Upgrade to see in full],This is [Upgrade to see in full],8/8/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ayesha  [Upgrade to see in full],So this [Upgrade to see in full],8/21/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Carol L [Upgrade to see in full],Sweetgr [Upgrade to see in full],8/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
O K.,: (Late [Upgrade to see in full],5/31/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Lena J.,Sweetgr [Upgrade to see in full],7/17/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Lucy C.,I final [Upgrade to see in full],9/15/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Natalya [Upgrade to see in full],I just  [Upgrade to see in full],4/30/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Rebecca [Upgrade to see in full],I love  [Upgrade to see in full],10/2/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kristín [Upgrade to see in full],Went th [Upgrade to see in full],4/30/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Ally C.,I went  [Upgrade to see in full],8/8/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Roger R [Upgrade to see in full],First t [Upgrade to see in full],9/10/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Victori [Upgrade to see in full],You kno [Upgrade to see in full],10/30/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Eden S.,All of  [Upgrade to see in full],6/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tiana T [Upgrade to see in full],Hats of [Upgrade to see in full],6/9/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Bernard [Upgrade to see in full],Food is [Upgrade to see in full],10/5/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Somyra  [Upgrade to see in full],I recen [Upgrade to see in full],6/16/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Stephan [Upgrade to see in full],Sometim [Upgrade to see in full],5/4/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Lauren  [Upgrade to see in full],My favo [Upgrade to see in full],7/24/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Amy X.,Hit or  [Upgrade to see in full],5/2/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jen C.,The bes [Upgrade to see in full],12/30/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Adk M.,Usually [Upgrade to see in full],5/30/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Michael [Upgrade to see in full],Great p [Upgrade to see in full],7/27/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jessica [Upgrade to see in full],I order [Upgrade to see in full],8/3/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Tom J.,This is [Upgrade to see in full],7/16/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tally R [Upgrade to see in full],Two oth [Upgrade to see in full],7/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Addie P [Upgrade to see in full],oh my G [Upgrade to see in full],1/20/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Wenkai  [Upgrade to see in full],The sal [Upgrade to see in full],8/30/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Catheri [Upgrade to see in full],I love  [Upgrade to see in full],2/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Lisa X.,The foo [Upgrade to see in full],7/17/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Amreeta [Upgrade to see in full],I loved [Upgrade to see in full],1/30/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Samanth [Upgrade to see in full],Went in [Upgrade to see in full],5/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Caitlin [Upgrade to see in full],Literal [Upgrade to see in full],11/20/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Jocelyn [Upgrade to see in full],Sweetgr [Upgrade to see in full],7/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ashkan  [Upgrade to see in full],Consist [Upgrade to see in full],10/20/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
ALEX S.,One of  [Upgrade to see in full],4/23/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Rami A.,I walke [Upgrade to see in full],1/25/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kay W.,I think [Upgrade to see in full],6/15/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Jung Jo [Upgrade to see in full],I've ge [Upgrade to see in full],7/8/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Melissa [Upgrade to see in full],I'm a s [Upgrade to see in full],5/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Joseph  [Upgrade to see in full],Love sw [Upgrade to see in full],4/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Chloe C [Upgrade to see in full],Decent  [Upgrade to see in full],3/14/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Henry Z [Upgrade to see in full],I had t [Upgrade to see in full],1/8/201 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Michell [Upgrade to see in full],Fresh i [Upgrade to see in full],5/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
TJ H.,Sweetgr [Upgrade to see in full],5/2/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Julia B [Upgrade to see in full],Oh swee [Upgrade to see in full],3/9/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kyle S.,"Deeply, [Upgrade to see in full]",2/14/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Theo M.,This sw [Upgrade to see in full],1/24/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Allison [Upgrade to see in full],After o [Upgrade to see in full],10/15/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Gilad P [Upgrade to see in full],My frie [Upgrade to see in full],4/30/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Lisha P [Upgrade to see in full],Sweetgr [Upgrade to see in full],5/18/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Kiki D.,Nice sa [Upgrade to see in full],8/7/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Daphne  [Upgrade to see in full],Love sw [Upgrade to see in full],9/13/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Nanna J [Upgrade to see in full],Good sa [Upgrade to see in full],10/4/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Ruth U.,Got the [Upgrade to see in full],11/18/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Lauren  [Upgrade to see in full],Could n [Upgrade to see in full],10/23/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Beth G.,The sal [Upgrade to see in full],7/24/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Veronik [Upgrade to see in full],Usually [Upgrade to see in full],5/2/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Ankita  [Upgrade to see in full],The sal [Upgrade to see in full],7/12/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Robert  [Upgrade to see in full],Great t [Upgrade to see in full],7/3/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
