Name,Review,Date,Star Rating
Melissa [Upgrade to see in full],This sh [Upgrade to see in full],11/21/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Wildary [Upgrade to see in full],This pl [Upgrade to see in full],11/4/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
John D.,Was cra [Upgrade to see in full],9/26/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Lauren  [Upgrade to see in full],Wish I  [Upgrade to see in full],11/2/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Judy C.,Mediocr [Upgrade to see in full],10/2/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Reva R.,Delicio [Upgrade to see in full],6/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Xiao Li [Upgrade to see in full],I have  [Upgrade to see in full],5/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Alan S.,There's [Upgrade to see in full],8/23/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Ray Y.,Not out [Upgrade to see in full],8/16/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Ariana  [Upgrade to see in full],Good Th [Upgrade to see in full],7/27/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Gab G.,Decent  [Upgrade to see in full],3/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Waylon  [Upgrade to see in full],Walked  [Upgrade to see in full],1/20/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sabin C [Upgrade to see in full],I was a [Upgrade to see in full],12/24/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jamila  [Upgrade to see in full],I had t [Upgrade to see in full],6/6/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jingbin [Upgrade to see in full],Best Th [Upgrade to see in full],11/24/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sabina  [Upgrade to see in full],I live  [Upgrade to see in full],6/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Aditya  [Upgrade to see in full],Great l [Upgrade to see in full],9/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Hanh T.,I love  [Upgrade to see in full],9/16/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Micheal [Upgrade to see in full],best pa [Upgrade to see in full],11/20/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Hu L.,Service [Upgrade to see in full],7/8/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Eddie M [Upgrade to see in full],Best Th [Upgrade to see in full],8/9/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Rye A.,The foo [Upgrade to see in full],7/30/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Hanna T [Upgrade to see in full],Amazing [Upgrade to see in full],5/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jiarui  [Upgrade to see in full],Really  [Upgrade to see in full],8/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Yinglu  [Upgrade to see in full],Pretty  [Upgrade to see in full],4/15/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Alex C.,Great s [Upgrade to see in full],10/26/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Pin E.,Great p [Upgrade to see in full],8/23/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Varand  [Upgrade to see in full],My expe [Upgrade to see in full],3/19/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Ana U.,My favo [Upgrade to see in full],8/31/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Y D.,Had tak [Upgrade to see in full],5/28/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
John K.,Food: C [Upgrade to see in full],7/29/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Carol L [Upgrade to see in full],I'm a r [Upgrade to see in full],6/18/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Georget [Upgrade to see in full],We went [Upgrade to see in full],7/31/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Anna G.,Thai Ma [Upgrade to see in full],2/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Amanda  [Upgrade to see in full],I'm tor [Upgrade to see in full],9/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Alexand [Upgrade to see in full],Outstan [Upgrade to see in full],7/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Autumn  [Upgrade to see in full],This pl [Upgrade to see in full],10/27/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Heather [Upgrade to see in full],Delicio [Upgrade to see in full],1/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jen N.,Great n [Upgrade to see in full],8/20/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Eric T.,The ser [Upgrade to see in full],8/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alex N.,Nice de [Upgrade to see in full],10/16/2 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Aryanna [Upgrade to see in full],Was ver [Upgrade to see in full],11/28/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Eddy P.,Was cra [Upgrade to see in full],6/29/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Blessin [Upgrade to see in full],So I ca [Upgrade to see in full],7/25/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Terri O [Upgrade to see in full],Great n [Upgrade to see in full],6/10/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Joshua  [Upgrade to see in full],I final [Upgrade to see in full],3/28/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kayla B [Upgrade to see in full],Food wa [Upgrade to see in full],7/10/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Alyssa  [Upgrade to see in full],First o [Upgrade to see in full],9/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Jason K [Upgrade to see in full],The foo [Upgrade to see in full],3/20/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Craig B [Upgrade to see in full],Never g [Upgrade to see in full],2/28/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Rachel  [Upgrade to see in full],Authent [Upgrade to see in full],10/28/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
